Onset_index,Onset_time,Cycle_number,Metric_location,Cycle_start_index,Cycle_end_index,Cycle_start_onset,Cycle_end_onset,Cycle_duration,Iso_beat_duration,Iso_onset,Offset_from_iso,Offset_in_beats,Offset_in_pulse_units,Phase,Is_included_in_grid
0,113.3511111,1,0,0,3,113.3511111,115.4553968,2.104285714,0.701428571,113.3511111,0,0,0,0,1
1,114.0977778,1,1,0,3,113.3511111,115.4553968,2.104285714,0.701428571,114.0525397,0.045238096,0.06449423,0.12898846,1.06449423,1
2,114.8546032,1,2,0,3,113.3511111,115.4553968,2.104285714,0.701428571,114.7539683,0.100634921,0.143471375,0.286942749,2.143471375,1
3,115.4553968,2,0,3,6,115.4553968,117.4286395,1.973242631,0.657747544,115.4553968,0,0,0,0,1
4,115.9947619,2,1,3,6,115.4553968,117.4286395,1.973242631,0.657747544,116.1131444,-0.118382464,-0.179981613,-0.359963225,0.820018387,1
5,116.7489342,2,2,3,6,115.4553968,117.4286395,1.973242631,0.657747544,116.7708919,-0.021957672,-0.033383131,-0.066766262,1.966616869,1
6,117.4286395,3,0,6,9,117.4286395,119.1951247,1.766485261,0.58882842,117.4286395,0,0,0,0,1
7,117.7948299,3,1,6,9,117.4286395,119.1951247,1.766485261,0.58882842,118.0174679,-0.222637944,-0.378103258,-0.756206517,0.621896742,1
8,118.5168707,3,2,6,9,117.4286395,119.1951247,1.766485261,0.58882842,118.6062963,-0.089425549,-0.1518703,-0.303740599,1.8481297,1
9,119.1951247,4,0,9,12,119.1951247,120.555102,1.359977324,0.453325775,119.1951247,0,0,0,0,1
10,119.5122222,4,1,9,12,119.1951247,120.555102,1.359977324,0.453325775,119.6484505,-0.13622827,-0.300508547,-0.601017093,0.699491453,1
11,119.9926984,4,2,9,12,119.1951247,120.555102,1.359977324,0.453325775,120.1017763,-0.109077853,-0.240616924,-0.481233847,1.759383076,1
12,120.555102,5,0,12,15,120.555102,122.2105669,1.655464852,0.551821617,120.555102,0,0,0,0,1
13,120.8768707,5,1,12,15,120.555102,122.2105669,1.655464852,0.551821617,121.1069237,-0.23005291,-0.416897242,-0.833794484,0.583102758,1
14,121.5481633,5,2,12,15,120.555102,122.2105669,1.655464852,0.551821617,121.6587453,-0.110582011,-0.200394488,-0.400788977,1.799605512,1
15,122.2105669,6,0,15,18,122.2105669,123.7194785,1.508911565,0.502970522,122.2105669,0,0,0,0,1
16,122.5382086,6,1,15,18,122.2105669,123.7194785,1.508911565,0.502970522,122.7135374,-0.175328798,-0.348586627,-0.697173254,0.651413373,1
17,123.2671655,6,2,15,18,122.2105669,123.7194785,1.508911565,0.502970522,123.2165079,0.050657597,0.10071683,0.201433661,2.10071683,1
18,123.7194785,7,0,18,21,123.7194785,125.1475283,1.428049887,0.476016629,123.7194785,0,0,0,0,1
19,124.0170295,7,1,18,21,123.7194785,125.1475283,1.428049887,0.476016629,124.1954951,-0.178465609,-0.374914652,-0.749829305,0.625085348,1
20,124.6847619,7,2,18,21,123.7194785,125.1475283,1.428049887,0.476016629,124.6715117,0.013250189,0.027835559,0.055671118,2.027835559,1
21,125.1475283,8,0,21,24,125.1475283,126.4497506,1.302222222,0.434074074,125.1475283,0,0,0,0,1
22,125.4602948,8,1,21,24,125.1475283,126.4497506,1.302222222,0.434074074,125.5816024,-0.121307634,-0.279462979,-0.558925959,0.720537021,1
23,126.034263,8,2,21,24,125.1475283,126.4497506,1.302222222,0.434074074,126.0156765,0.018586546,0.042818835,0.085637669,2.042818835,1
24,126.4497506,9,0,24,27,126.4497506,127.7696599,1.319909297,0.439969766,126.4497506,0,0,0,0,1
25,126.7191837,9,1,24,27,126.4497506,127.7696599,1.319909297,0.439969766,126.8897203,-0.17053666,-0.387609952,-0.775219904,0.612390048,1
26,127.2424717,9,2,24,27,126.4497506,127.7696599,1.319909297,0.439969766,127.3296901,-0.087218443,-0.198237357,-0.396474713,1.801762643,1
27,127.7696599,10,0,27,30,127.7696599,129.1191383,1.349478458,0.449826153,127.7696599,0,0,0,0,1
28,128.0599093,10,1,27,30,127.7696599,129.1191383,1.349478458,0.449826153,128.219486,-0.15957672,-0.354751983,-0.709503966,0.645248017,1
29,128.6427438,10,2,27,30,127.7696599,129.1191383,1.349478458,0.449826153,128.6693122,-0.026568405,-0.059063719,-0.118127437,1.940936281,1
30,129.1191383,11,0,30,33,129.1191383,130.448254,1.329115646,0.443038549,129.1191383,0,0,0,0,1
31,129.3979365,11,1,30,33,129.1191383,130.448254,1.329115646,0.443038549,129.5621769,-0.164240363,-0.370713481,-0.741426962,0.629286519,1
32,129.9946939,11,2,30,33,129.1191383,130.448254,1.329115646,0.443038549,130.0052154,-0.010521541,-0.023748591,-0.047497182,1.976251409,1
33,130.448254,12,0,33,36,130.448254,131.6382313,1.189977325,0.396659108,130.448254,0,0,0,0,1
34,130.7234467,12,1,33,36,130.448254,131.6382313,1.189977325,0.396659108,130.8449131,-0.121466364,-0.30622356,-0.61244712,0.69377644,1
35,131.174898,12,2,33,36,130.448254,131.6382313,1.189977325,0.396659108,131.2415722,-0.066674226,-0.168089486,-0.336178972,1.831910514,1
36,131.6382313,13,0,36,39,131.6382313,132.8676417,1.22941043,0.409803477,131.6382313,0,0,0,0,1
37,131.8937642,13,1,36,39,131.6382313,132.8676417,1.22941043,0.409803477,132.0480348,-0.154270598,-0.376450192,-0.752900385,0.623549808,1
38,132.4091383,13,2,36,39,131.6382313,132.8676417,1.22941043,0.409803477,132.4578382,-0.048699924,-0.118837265,-0.23767453,1.881162735,1
39,132.8676417,14,0,39,42,132.8676417,134.0614966,1.193854876,0.397951625,132.8676417,0,0,0,0,1
40,133.1447846,14,1,39,42,132.8676417,134.0614966,1.193854876,0.397951625,133.2655933,-0.120808768,-0.303576517,-0.607153034,0.696423483,1
41,133.6730612,14,2,39,42,132.8676417,134.0614966,1.193854876,0.397951625,133.663545,0.00951625,0.023913083,0.047826166,2.023913083,1
