TIME,LABEL
113.351111111,1.1
114.097777778,1.2
114.854603175,1.3
115.455396825,1.4
115.994761905,2.1
116.748934240,2.2
117.428639456,2.3
117.794829932,2.4
118.516870748,3.1
119.195124717,3.2
119.512222222,3.3
119.992698413,3.4
120.555102041,4.1
120.876870748,4.2
121.548163265,4.3
122.210566893,4.4
122.538208617,5.1
123.267165533,5.2
123.719478458,5.3
124.017029478,5.4
124.684761905,6.1
125.147528345,6.2
125.460294785,6.3
126.034263039,6.4
126.449750567,7.1
126.719183673,7.2
127.242471655,7.3
127.769659864,7.4
128.059909297,8.1
128.642743764,8.2
129.119138322,8.3
129.397936508,8.4
129.994693878,9.1
130.448253968,9.2
130.723446712,9.3
131.174897959,9.4
131.638231293,10.1
131.893764172,10.2
132.409138322,10.3
132.867641723,10.4
133.144784580,11.1
133.673061224,11.2
134.061496599,11.3
134.317437642,11.4
134.879092971,12.1
135.307346939,12.2
135.548163265,12.3
136.012562358,12.4
136.440498866,13.1
136.621473923,13.2
137.047528345,13.3
137.387913832,13.4
137.589092971,14.1
138.024081633,14.2
138.340430839,14.3
138.560884354,14.4
139.010929705,15.1
139.364399093,15.2
139.593219955,15.3
140.046077098,15.4
140.361882086,16.1
140.584761905,16.2
141.022721088,16.3
141.327052154,16.4
141.567868481,17.1
142.011020408,17.2
142.317505669,17.3
142.556575964,17.4
142.973537415,18.1
143.410544218,18.2
143.866235828,18.3
144.374557823,18.4
144.973605442,19.1
145.549931973,19.2
145.981179138,19.3
146.320158730,19.4
146.563945578,20.1
146.907664399,20.2
147.189455782,20.3
147.435283447,20.4
147.840770975,21.1
148.147369615,21.2
148.413015873,21.3
148.788480726,21.4
149.121496599,22.1
149.465124717,22.2
149.736190476,22.3
150.068979592,22.4
150.406462585,23.1
150.737551020,23.2
151.092675737,23.3
151.432834467,23.4
151.762154195,24.1
152.129659864,24.2
152.532857143,24.3
152.954353741,24.4
153.394353741,25.1
153.668435374,25.2
154.025918367,25.3
154.354172336,25.4
154.665079365,26.1
154.951768707,26.2
155.255895692,26.3
155.500249433,26.4
155.845419501,27.1
156.169115646,27.2
156.423764172,27.3
156.783242630,27.4
157.059319728,28.1
157.324285714,28.2
157.702721088,28.3
158.000839002,28.4
158.289591837,29.1
158.633945578,29.2
158.938208617,29.3
159.186303855,29.4
159.545238095,30.1
159.931972789,30.2
160.143310658,30.3
160.480907029,30.4
160.764875283,31.1
161.062290249,31.2
161.368730159,31.3
161.688639456,31.4
161.948140590,32.1
162.232222222,32.2
162.533718821,32.3
162.809047619,32.4
163.105600907,33.1
163.416893424,33.2
163.697505669,33.3
164.030000000,33.4
164.352380952,34.1
164.609954649,34.2
164.932176871,34.3
165.264875283,34.4
165.577777778,35.1
165.903401361,35.2
166.227619048,35.3
166.542539683,35.4
166.874625850,36.1
167.168866213,36.2
167.581541950,36.3
167.965079365,36.4
168.529954649,37.1
168.878253968,37.2
169.226031746,37.3
169.608231293,37.4
169.911632653,38.1
170.186371882,38.2
170.512222222,38.3
170.792698413,38.4
171.104897959,39.1
171.419546485,39.2
171.700657596,39.3
171.996371882,39.4
172.302176871,40.1
172.610453515,40.2
172.984875283,40.3
173.267755102,40.4
173.581927438,41.1
173.836235828,41.2
174.163945578,41.3
174.450068027,41.4
174.797346939,42.1
175.148820862,42.2
175.403741497,42.3
175.713242630,42.4
176.057460317,43.1
176.334331066,43.2
176.619115646,43.3
176.949795918,43.4
177.237551020,44.1
177.520793651,44.2
177.806326531,44.3
178.029795918,44.4
178.352675737,45.1
178.675963719,45.2
178.958571429,45.3
179.238979592,45.4
179.584761905,46.1
179.874784580,46.2
180.172335601,46.3
180.483265306,46.4
180.723809524,New Point
181.035578231,47.1
181.408639456,47.2
181.709637188,47.3
181.995374150,47.4
182.378367347,48.1
182.810385488,48.2
183.217301587,48.3
184.055873016,48.4
184.279365079,49.1
184.728866213,49.2
185.108367347,49.3
185.384988662,49.4
185.807709751,50.1
186.123628118,50.2
186.373287982,50.3
186.808571429,50.4
187.118979592,51.1
187.391269841,51.2
187.733945578,51.3
188.039070295,51.4
188.278004535,52.1
188.647460317,52.2
188.973333333,52.3
189.190861678,52.4
189.609138322,53.1
189.875442177,53.2
190.095555556,53.3
190.479841270,53.4
190.750476190,54.1
190.976439909,54.2
191.311927438,54.3
191.606394558,54.4
191.788412698,55.1
192.214081633,55.2
192.509523810,55.3
192.734126984,55.4
193.114761905,56.1
193.416961451,56.2
193.608163265,56.3
194.004965986,56.4
194.278253968,57.1
194.466462585,57.2
194.867687075,57.3
195.155260771,57.4
195.434217687,58.1
195.721632653,58.2
196.039682540,58.3
196.402698413,58.4
196.721541950,59.1
197.030294785,59.2
197.254761905,59.3
197.590566893,59.4
197.964739229,60.1
198.413628118,60.2
198.857800454,60.3
199.462131519,60.4
199.870748299,61.1
200.320612245,61.2
200.649682540,61.3
200.911473923,61.4
201.309229025,62.1
201.643106576,62.2
201.897210884,62.3
202.314444444,62.4
202.643582766,63.1
202.874716553,63.2
203.244761905,63.3
203.550612245,63.4
203.772426304,64.1
204.186507937,64.2
204.506893424,64.3
204.680204082,64.4
205.063129252,65.1
205.331383220,65.2
205.512970522,65.3
205.923832200,65.4
206.243537415,66.1
206.454331066,66.2
206.774036281,66.3
207.098367347,66.4
207.329591837,67.1
207.687029478,67.2
207.980000000,67.3
208.189977324,67.4
208.595646259,68.1
208.867482993,68.2
209.054353741,68.3
209.469750567,68.4
209.775056689,69.1
209.962857143,69.2
210.352335601,69.3
210.639863946,69.4
210.903945578,70.1
211.216077098,70.2
211.519886621,70.3
211.868072562,70.4
212.205759637,71.1
212.500680272,71.2
212.816598639,71.3
213.137823129,71.4
213.508163265,72.1
213.996394558,72.2
