onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
1.798,0,NaN,NaN,1,NaN,NaN
2.056,0,NaN,NaN,1,NaN,NaN
2.223,0,NaN,NaN,1,NaN,NaN
2.494,0,NaN,NaN,1,NaN,NaN
2.654,0,NaN,NaN,1,NaN,NaN
2.919,0,NaN,NaN,1,NaN,NaN
3.093,0,NaN,NaN,1,NaN,NaN
3.357,0,NaN,NaN,1,NaN,NaN
3.52,1,0,1,2,0,0
3.789,1,0.6,3,2,0.64838806869539,0.64838806869539
3.948,1,1,4,2,1.03163603495029,1.03163603495029
4.199,1,1.6,6,2,1.63663754142814,1.63663754142814
4.364,1,2,7,2,2.03434769508888,2.03434769508888
4.611,1,2.6,9,2,2.62970774329617,2.62970774329617
4.775,1,3,10,2,3.02500753238927,3.02500753238927
5.025,1,3.6,12,2,3.62759867429949,3.62759867429949
5.162,1,0,1,3,-0.0434018807481659,-0.0434018807481659
5.424,1,0.6,3,3,0.606386276738659,0.606386276738659
5.581,1,1,4,3,0.995763149736489,0.995763149736489
5.846,1,1.6,6,3,1.65299162963728,1.65299162963728
5.991,1,2,7,3,2.01260721297923,2.01260721297923
6.229,1,2.6,9,3,2.60287279115428,2.60287279115428
6.379,1,3,10,3,2.97488891185284,2.97488891185284
6.625,1,3.6,12,3,3.58499534979849,3.58499534979849
6.781,1,0,1,4,-0.0287162162162199,-0.0287162162162199
7.026,1,0.6,3,4,0.592060810810808,0.592060810810808
7.179,1,1,4,4,0.979729729729729,0.979729729729729
7.433,1,1.6,6,4,1.62331081081081,1.62331081081081
7.581,1,2,7,4,1.99831081081081,1.99831081081081
7.832,1,2.6,9,4,2.63429054054054,2.63429054054054
7.991,1,3,10,4,3.03716216216216,3.03716216216216
8.228,1,3.6,12,4,3.63766891891892,3.63766891891892
8.373,1,0,1,5,0.00515796260477283,0.00515796260477283
8.622,1,0.6,3,5,0.647324306898777,0.647324306898777
8.774,1,1,4,5,1.03932946486138,1.03932946486138
9.012,1,1.6,6,5,1.65312701482915,1.65312701482915
9.153,1,2,7,5,2.01676337846551,2.01676337846551
9.397,1,2.6,9,5,2.64603481624758,2.64603481624758
9.554,1,3,10,5,3.05093488072212,3.05093488072212
9.779,1,3.6,12,5,3.63120567375886,3.63120567375886
9.922,1,0,1,6,0,0
10.189,1,0.6,3,6,0.689180468918046,0.689180468918046
10.331,1,1,4,6,1.05571090557109,1.05571090557109
10.559,1,1.6,6,6,1.64422456442245,1.64422456442245
10.709,1,2,7,6,2.03140460314046,2.03140460314046
10.929,1,2.6,9,6,2.59926865992687,2.59926865992687
11.083,1,3,10,6,2.99677349967735,2.99677349967735
