onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
5.411,1,2,7,2,2.07753975555263,2.07753975555263
5.868,1,3,10,2,3.03850703114733,3.03850703114733
6.338,1,0,1,3,0.0275638427239554,0.0275638427239554
6.82,1,1,4,3,1.06958519119038,1.06958519119038
7.276,1,2,7,3,2.05539791920011,2.05539791920011
7.732,1,3,10,3,3.04121064720984,3.04121064720984
8.175,1,0,1,4,-0.00109419166590426,-0.00109419166590426
8.632,1,1,4,4,0.998996990972919,0.998996990972919
9.1,1,2,7,4,2.0231603902617,2.0231603902617
9.57,1,3,10,4,3.0517005562141,3.0517005562141
10.021,1,0,1,5,0.0394125302100808,0.0394125302100808
10.459,1,1,4,5,1.01654582636178,1.01654582636178
10.904,1,2,7,5,2.00929540806842,2.00929540806842
11.351,1,3,10,5,3.0065067856479,3.0065067856479
11.811,1,0,1,6,0.0333017975402125,0.0333017975402125
12.247,1,1,4,6,1.0232734153264,1.0232734153264
12.692,1,2,7,6,2.03368022705771,2.03368022705771
13.127,1,3,10,6,3.02138126773889,3.02138126773889
13.554,1,0,1,7,-0.00915157292659574,-0.00915157292659574
14.005,1,1,4,7,1.02268827454719,1.02268827454719
14.453,1,2,7,7,2.04766444232602,2.04766444232602
14.888,1,3,10,7,3.04289799809342,3.04289799809342
15.316,1,0,1,8,0.0223463687150824,0.0223463687150824
15.747,1,1,4,8,1.01868618763244,1.01868618763244
16.174,1,2,7,8,2.00577923328838,2.00577923328838
16.612,1,3,10,8,3.01830090541321,3.01830090541321
17.056,1,0,1,9,0.0457977594630662,0.0457977594630662
17.48,1,1,4,9,1.05019000148053,1.05019000148053
17.907,1,2,7,9,2.0616887923802,2.0616887923802
18.321,1,3,10,9,3.04239253812368,3.04239253812368
18.736,1,0,1,10,0.0252582113661988,0.0252582113661988
19.165,1,1,4,10,1.03323706495668,1.03323706495668
19.572,1,2,7,10,1.98952469528611,1.98952469528611
20.006,1,3,10,10,3.0092515541632,3.0092515541632
20.432,1,0,1,11,0.0102362204724367,0.0102362204724367
20.864,1,1,4,11,1.03070866141732,1.03070866141732
21.304,1,2,7,11,2.07007874015748,2.07007874015748
21.72,1,3,10,11,3.05275590551181,3.05275590551181
22.13,1,0,1,12,0.0215482841181173,0.0215482841181173
22.55,1,1,4,12,1.02713487629689,1.02713487629689
22.97,1,2,7,12,2.03272146847566,2.03272146847566
23.392,1,3,10,12,3.04309656823623,3.04309656823623
23.795,1,0,1,13,0.00792314548876027,0.00792314548876027
24.224,1,1,4,13,1.02763196989204,1.02763196989204
24.632,1,2,7,13,1.99742497771615,1.99742497771615
