onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
2.363,0,NaN,NaN,1,NaN,NaN
2.545,0,NaN,NaN,1,NaN,NaN
2.713,0,NaN,NaN,1,NaN,NaN
3.042,0,NaN,NaN,1,NaN,NaN
3.188,0,NaN,NaN,1,NaN,NaN
3.371,0,NaN,NaN,1,NaN,NaN
3.698,0,NaN,NaN,1,NaN,NaN
3.854,0,NaN,NaN,1,NaN,NaN
4.065,0,NaN,NaN,1,NaN,NaN
4.369,1,0,1,2,0.0467273664318849,0.0467273664318849
4.701,1,0.6,3,2,0.731145851228311,0.731145851228311
5.179,1,1.6,6,2,1.71654354921835,1.71654354921835
5.503,1,2.3,8,2,2.38447002233293,2.38447002233293
5.809,1,3,10,2,3.01528946916338,3.01528946916338
6.114,1,3.6,12,2,3.64404741453359,3.64404741453359
6.293,1,0,1,3,0.0134038800705481,0.0134038800705481
6.599,1,0.6,3,3,0.661022927689595,0.661022927689595
6.939,1,1.3,5,3,1.38059964726631,1.38059964726631
7.415,1,2.3,8,3,2.38800705467372,2.38800705467372
7.709,1,3,10,3,3.01022927689594,3.01022927689594
8.003,1,3.6,12,3,3.63245149911816,3.63245149911816
8.179,1,0,1,4,0.0050733828592121,0.0050733828592121
8.491,1,0.6,3,4,0.683457148034062,0.683457148034062
8.812,1,1.3,5,4,1.38140967566588,1.38140967566588
9.269,1,2.3,8,4,2.37506794709186,2.37506794709186
9.387,1,2.6,9,4,2.6316361659721,2.6316361659721
9.571,1,3,10,4,3.03170864287008,3.03170864287008
9.836,1,3.6,12,4,3.60789998188078,3.60789998188078
10.038,1,0,1,5,0.0473847275378163,0.0473847275378163
10.314,1,0.6,3,5,0.650993256788772,0.650993256788772
10.652,1,1.3,5,5,1.39019500637871,1.39019500637871
11.113,1,2.3,8,5,2.39839620922179,2.39839620922179
11.385,1,3,10,5,2.99325678877346,2.99325678877346
11.672,1,3.6,12,5,3.62092217969747,3.62092217969747
11.847,1,0,1,6,0.00365697568110839,0.00365697568110839
12.138,1,0.6,3,6,0.642164929603215,0.642164929603215
12.475,1,1.3,5,6,1.381605412324,1.381605412324
12.938,1,2.3,8,6,2.39751325653684,2.39751325653684
13.225,1,3,10,6,3.02724446882428,3.02724446882428
13.506,1,3.6,12,6,3.64381056865972,3.64381056865972
13.673,1,0,1,7,0.0104438642297619,0.0104438642297619
13.955,1,0.6,3,7,0.641551659828419,0.641551659828419
14.289,1,1.3,5,7,1.38903394255874,1.38903394255874
14.734,1,2.3,8,7,2.38493099589705,2.38493099589705
15.003,1,3,10,7,2.98694516971279,2.98694516971279
15.291,1,3.6,12,7,3.63148079074972,3.63148079074972
15.456,1,0,1,8,0.000744324525490059,0.000744324525490059
15.739,1,0.6,3,8,0.632675846669148,0.632675846669148
16.078,1,1.3,5,8,1.38965388909564,1.38965388909564
16.529,1,2.3,8,8,2.39672497208783,2.39672497208783
16.809,1,3,10,8,3.02195757350205,3.02195757350205
17.09,1,3.6,12,8,3.64942314849274,3.64942314849274
17.255,1,0,1,9,0.0179506357516809,0.0179506357516809
17.537,1,0.6,3,9,0.650710545998502,0.650710545998502
17.862,1,1.3,5,9,1.37995512341062,1.37995512341062
18.322,1,2.3,8,9,2.41211667913238,2.41211667913238
18.439,1,2.6,9,9,2.67464472700075,2.67464472700075
18.602,1,3,10,9,3.04038893044129,3.04038893044129
18.868,1,3.6,12,9,3.63724756918474,3.63724756918474
19.049,1,0,1,10,0.0441232407759576,0.0441232407759576
19.316,1,0.6,3,10,0.653480410802583,0.653480410802583
19.63,1,1.3,5,10,1.37010270064663,1.37010270064663
20.075,1,2.3,8,10,2.38569798402434,2.38569798402434
20.341,1,3,10,10,2.99277291745911,2.99277291745911
20.617,1,3.6,12,10,3.62267021681248,3.62267021681248
20.781,1,0,1,11,-0.00305110602593813,-0.00305110602593813
21.059,1,0.6,3,11,0.633104500381389,0.633104500381389
21.379,1,1.3,5,11,1.36536994660565,1.36536994660565
21.819,1,2.3,8,11,2.37223493516399,2.37223493516399
22.084,1,3,10,11,2.97864225781846,2.97864225781846
22.365,1,3.6,12,11,3.62166285278413,3.62166285278413
22.53,1,0,1,12,-0.00076481835564147,-0.00076481835564147
22.809,1,0.6,3,12,0.639388145315487,0.639388145315487
23.124,1,1.3,5,12,1.36214149139579,1.36214149139579
23.56,1,2.3,8,12,2.36252390057361,2.36252390057361
23.672,1,2.6,9,12,2.61950286806883,2.61950286806883
23.84,1,3,10,12,3.00497131931166,3.00497131931166
24.097,1,3.6,12,12,3.59464627151052,3.59464627151052
24.282,1,0,1,13,0.0193348801237422,0.0193348801237422
24.562,1,0.6,3,13,0.668986852281519,0.668986852281519
24.868,1,1.3,5,13,1.37896365042537,1.37896365042537
25.301,1,2.3,8,13,2.38360402165507,2.38360402165507
25.562,1,3,10,13,2.98917246713071,2.98917246713071
25.837,1,3.6,12,13,3.62722351121424,3.62722351121424
25.995,1,0,1,14,-0.00626959247647997,-0.00626959247647997
26.266,1,0.6,3,14,0.630877742946709,0.630877742946709
26.572,1,1.3,5,14,1.35031347962383,1.35031347962383
27.002,1,2.3,8,14,2.36128526645768,2.36128526645768
27.275,1,3,10,14,3.00313479623824,3.00313479623824
27.551,1,3.6,12,14,3.65203761755485,3.65203761755485
27.71,1,0,1,15,0.0259944860181156,0.0259944860181156
27.972,1,0.6,3,15,0.645135880267822,0.645135880267822
28.264,1,1.3,5,15,1.33517132729421,1.33517132729421
28.712,1,2.3,8,15,2.39385584875935,2.39385584875935
28.971,1,3,10,15,3.00590783773139,3.00590783773139
29.242,1,3.6,12,15,3.6463174478141,3.6463174478141
29.402,1,0,1,16,0.0244817374136275,0.0244817374136275
29.661,1,0.6,3,16,0.638104639684111,0.638104639684111
29.969,1,1.3,5,16,1.36781836130306,1.36781836130306
30.39,1,2.3,8,16,2.36525172754195,2.36525172754195
30.649,1,3,10,16,2.97887462981244,2.97887462981244
30.924,1,3.6,12,16,3.63040473840078,3.63040473840078
31.082,1,0,1,17,0.00478278198485187,0.00478278198485187
31.355,1,0.6,3,17,0.657632522917493,0.657632522917493
31.665,1,1.3,5,17,1.39896373056994,1.39896373056994
32.077,1,2.3,8,17,2.38421681944997,2.38421681944997
32.587,1,3.6,12,17,3.60382622558788,3.60382622558788
32.752,1,0,1,18,-0.00160064025610439,-0.00160064025610439
33.035,1,0.6,3,18,0.677871148459366,0.677871148459366
33.746,1,2.3,8,18,2.38495398159263,2.38495398159263
34.282,1,3.6,12,18,3.67186874749897,3.67186874749897
34.432,1,0,1,19,0.0322385653838284,0.0322385653838284
34.694,1,0.6,3,19,0.665726375176296,0.665726375176296
34.988,1,1.3,5,19,1.37658674188997,1.37658674188997
35.393,1,2.3,8,19,2.35583316542413,2.35583316542413
35.512,1,2.6,9,19,2.64356236147491,2.64356236147491
35.661,1,3,10,19,3.00382832963933,3.00382832963933
35.909,1,3.6,12,19,3.60346564577876,3.60346564577876
36.081,1,0,1,20,0.0197409006786001,0.0197409006786001
36.341,1,0.6,3,20,0.661320172732885,0.661320172732885
36.641,1,1.3,5,20,1.40160394818013,1.40160394818013
37.036,1,2.3,8,20,2.3763109191857,2.3763109191857
37.538,1,3.6,12,20,3.61505243676743,3.61505243676743
37.686,1,0,1,21,-0.0194805194805086,-0.0194805194805086
37.835,0,0.3,2,21,0.343344155844168,0.343344155844168
37.977,1,0.6,3,21,0.689123376623378,0.689123376623378
38.682,1,2.3,8,21,2.40584415584417,2.40584415584417
39.176,1,3.6,12,21,3.60876623376624,3.60876623376624
39.336,1,0,1,22,-0.00162800162800361,-0.00162800162800361
39.612,1,0.6,3,22,0.672364672364676,0.672364672364676
40.04,1,1.6,6,22,1.71754171754171,1.71754171754171
40.307,1,2.3,8,22,2.36955636955637,2.36955636955637
40.557,1,3,10,22,2.98005698005698,2.98005698005698
40.832,1,3.6,12,22,3.65160765160764,3.65160765160764
40.981,1,0,1,23,0.0154975530179375,0.0154975530179375
41.239,1,0.6,3,23,0.64681892332788,0.64681892332788
41.372,0,1,4,23,0.972267536704723,0.972267536704723
41.536,1,1.3,5,23,1.37357259380098,1.37357259380098
41.95,1,2.3,8,23,2.38662316476346,2.38662316476346
42.203,1,3,10,23,3.00570962479609,3.00570962479609
42.463,1,3.6,12,23,3.64192495921697,3.64192495921697
42.621,1,0,1,24,0.0290999792143095,0.0290999792143095
42.875,1,0.6,3,24,0.662648098108504,0.662648098108504
43.163,1,1.3,5,24,1.38100187071294,1.38100187071294
43.55,1,2.3,8,24,2.34628975265017,2.34628975265017
43.805,1,3,10,24,2.98233215547703,2.98233215547703
44.063,1,3.6,12,24,3.62585741010185,3.62585741010185
44.214,1,0,1,25,0.00249999999999418,0.00249999999999418
44.463,1,0.6,3,25,0.625000000000002,0.625000000000002
44.749,1,1.3,5,25,1.34000000000001,1.34000000000001
45.154,1,2.3,8,25,2.35250000000001,2.35250000000001
45.409,1,3,10,25,2.99000000000001,2.99000000000001
45.668,1,3.6,12,25,3.63750000000001,3.63750000000001
45.82,1,0,1,26,0.0174057190219768,0.0174057190219768
46.065,1,0.6,3,26,0.626605884790724,0.626605884790724
46.357,1,1.3,5,26,1.35267302113553,1.35267302113553
46.766,1,2.3,8,26,2.36966431827602,2.36966431827602
47.013,1,3,10,26,2.98383754662247,2.98383754662247
47.27,1,3.6,12,26,3.62287608785746,3.62287608785746
47.428,1,0,1,27,0.0157676348547821,0.0157676348547821
47.685,1,0.6,3,27,0.655601659751056,0.655601659751056
47.977,1,1.3,5,27,1.38257261410788,1.38257261410788
48.379,1,2.3,8,27,2.38340248962655,2.38340248962655
48.618,1,3,10,27,2.97842323651453,2.97842323651453
48.875,1,3.6,12,27,3.61825726141078,3.61825726141078
49.026,1,0,1,28,-0.0058369814467358,-0.0058369814467358
49.285,1,0.6,3,28,0.642067959141116,0.642067959141116
49.574,1,1.3,5,28,1.36501980404419,1.36501980404419
49.973,1,2.3,8,28,2.36314363143631,2.36314363143631
50.225,1,3,10,28,2.99353762768397,2.99353762768397
50.47,1,3.6,12,28,3.60642067959141,3.60642067959141
50.621,1,0,1,29,-0.0159966322879319,-0.0159966322879319
50.875,1,0.6,3,29,0.625552515259945,0.625552515259945
51.155,1,1.3,5,29,1.3327720479899,1.3327720479899
51.552,1,2.3,8,29,2.33550831403914,2.33550831403914
52.058,1,3.6,12,29,3.61355504104398,3.61355504104398
52.216,1,0,1,30,0.0127442650807021,0.0127442650807021
52.468,1,0.6,3,30,0.655055225148678,0.655055225148678
52.744,1,1.3,5,30,1.35853865760406,1.35853865760406
53.136,1,2.3,8,30,2.35768903993202,2.35768903993202
53.628,1,3.6,12,30,3.61172472387424,3.61172472387424
53.77,1,0,1,31,-0.0265354162208483,-0.0265354162208483
54.032,1,0.6,3,31,0.646265782152772,0.646265782152772
54.303,1,1.3,5,31,1.3421784720736,1.3421784720736
54.688,1,2.3,8,31,2.33083672159212,2.33083672159212
55.204,1,3.6,12,31,3.65589557029745,3.65589557029745
55.353,1,0,1,32,0.0386514923770683,0.0386514923770683
55.598,1,0.6,3,32,0.669959201202487,0.669959201202487
55.877,1,1.3,5,32,1.38887695941594,1.38887695941594
56.267,1,2.3,8,32,2.39381576121968,2.39381576121968
56.753,1,3.6,12,32,3.64612411423664,3.64612411423664
56.904,1,0,1,33,0.0348602401955728,0.0348602401955728
57.144,1,0.6,3,33,0.647040068019982,0.647040068019982
57.587,1,1.6,6,33,1.77702200021257,1.77702200021257
57.821,1,2.3,8,33,2.37389733234137,2.37389733234137
58.059,1,3,10,33,2.98097566160059,2.98097566160059
58.318,1,3.6,12,33,3.64161972579445,3.64161972579445
58.468,1,0,1,34,0.0239596469104735,0.0239596469104735
58.724,1,0.6,3,34,0.669609079445135,0.669609079445135
59.013,1,1.3,5,34,1.39848675914249,1.39848675914249
59.387,1,2.3,8,34,2.34174022698613,2.34174022698613
59.649,1,3,10,34,3.00252206809584,3.00252206809584
59.907,1,3.6,12,34,3.65321563682219,3.65321563682219
60.052,1,0,1,35,0.019167287828773,0.019167287828773
60.299,1,0.6,3,35,0.650409966989673,0.650409966989673
60.964,1,2.3,8,35,2.34990948780748,2.34990948780748
61.223,1,3,10,35,3.01181982749442,3.01181982749442
61.471,1,3.6,12,35,3.6456181450325,3.6456181450325
61.623,1,0,1,36,0.0340136054421822,0.0340136054421822
61.867,1,0.6,3,36,0.656462585034019,0.656462585034019
62.136,1,1.3,5,36,1.34268707482995,1.34268707482995
62.535,1,2.3,8,36,2.36054421768708,2.36054421768708
62.786,1,3,10,36,3.00085034013607,3.00085034013607
63.038,1,3.6,12,36,3.64370748299321,3.64370748299321
63.184,1,0,1,37,0.0161943319838163,0.0161943319838163
63.442,1,0.6,3,37,0.675900277008323,0.675900277008323
