onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
0.017,0,NaN,NaN,NaN,NaN,NaN
0.096,0,NaN,NaN,NaN,NaN,NaN
0.231,0,NaN,NaN,NaN,NaN,NaN
0.384,0,NaN,NaN,NaN,NaN,NaN
0.578,0,NaN,NaN,NaN,NaN,NaN
0.663,0,NaN,NaN,NaN,NaN,NaN
0.801,0,NaN,NaN,NaN,NaN,NaN
0.965,0,NaN,NaN,NaN,NaN,NaN
1.141,0,NaN,NaN,NaN,NaN,NaN
1.226,0,NaN,NaN,NaN,NaN,NaN
1.373,0,NaN,NaN,NaN,NaN,NaN
1.536,0,NaN,NaN,NaN,NaN,NaN
1.758,0,NaN,NaN,NaN,NaN,NaN
4.625,1,0,1,2,-0.0187311178247738,-0.0187311178247738
5.027,1,0.6,3,2,0.709969788519638,0.709969788519638
5.201,1,1,4,2,1.02537764350453,1.02537764350453
5.392,1,1.3,5,2,1.37160120845922,1.37160120845922
5.748,1,2,7,2,2.01691842900302,2.01691842900302
5.927,1,2.3,8,2,2.34138972809668,2.34138972809668
6.301,1,3,10,2,3.01933534743202,3.01933534743202
6.493,1,3.3,11,2,3.36737160120846,3.36737160120846
6.842,1,0,1,3,0,0
7.023,1,0.3,2,3,0.338212394892557,0.338212394892557
7.199,1,0.6,3,3,0.667081905948303,0.667081905948303
7.372,1,1,4,3,0.990345686701962,0.990345686701962
7.558,1,1.3,5,3,1.33790096543133,1.33790096543133
7.911,1,2,7,3,1.99750856431018,1.99750856431018
8.097,1,2.3,8,3,2.34506384303955,2.34506384303955
8.439,1,3,10,3,2.98411709747742,2.98411709747742
8.639,1,3.3,11,3,3.35783245094986,3.35783245094986
8.794,1,3.6,12,3,3.647461849891,3.647461849891
8.98,1,0,1,4,-0.00511918093105047,-0.00511918093105047
9.154,1,0.3,2,4,0.328907374820029,0.328907374820029
9.313,1,0.6,3,4,0.634138537833948,0.634138537833948
9.488,1,1,4,4,0.97008478643417,0.97008478643417
9.676,1,1.3,5,4,1.33098704207327,1.33098704207327
10.018,1,2,7,4,1.98752199648056,1.98752199648056
10.216,1,2.3,8,4,2.3676211806111,2.3676211806111
10.541,1,3,10,4,2.99152135658295,2.99152135658295
10.729,1,3.3,11,4,3.35242361222204,3.35242361222204
11.064,1,0,1,5,-0.00453955901426582,-0.00453955901426582
11.247,1,0.3,2,5,0.351491569390403,0.351491569390403
11.405,1,0.6,3,5,0.658884565499351,0.658884565499351
11.585,1,1,4,5,1.00907911802854,1.00907911802854
11.765,1,1.3,5,5,1.35927367055772,1.35927367055772
12.093,1,2,7,5,1.99740596627756,1.99740596627756
12.277,1,2.3,8,5,2.35538261997406,2.35538261997406
12.615,1,3,10,5,3.01297016861219,3.01297016861219
12.787,1,3.3,11,5,3.34760051880674,3.34760051880674
12.938,1,3.6,12,5,3.64137483787289,3.64137483787289
13.116,1,0,1,6,-0.0125640601752404,-0.0125640601752404
13.294,1,0.3,2,6,0.340552157381383,0.340552157381383
13.456,1,0.6,3,6,0.661927591337407,0.661927591337407
13.619,1,1,4,6,0.985286824268471,0.985286824268471
13.799,1,1.3,5,6,1.34237063977517,1.34237063977517
14.127,1,2,7,6,1.99305670358737,1.99305670358737
14.306,1,2.3,8,6,2.34815672011903,2.34815672011903
14.64,1,3,10,6,3.01074557778145,3.01074557778145
14.812,1,3.3,11,6,3.35195900148785,3.35195900148785
15.123,1,0,1,7,-0.0311826173494768,-0.0311826173494768
15.3,1,0.3,2,7,0.321114612705262,0.321114612705262
15.461,1,0.6,3,7,0.641565765466913,0.641565765466913
15.638,1,1,4,7,0.993862995521648,0.993862995521648
15.809,1,1.3,5,7,1.33421794659148,1.33421794659148
16.134,1,2,7,7,1.98109139160724,1.98109139160724
16.312,1,2.3,8,7,2.33537900149279,2.33537900149279
16.649,1,3,10,7,3.00613700447836,3.00613700447836
16.83,1,3.3,11,7,3.36639575385636,3.36639575385636
16.973,1,3.6,12,7,3.6510200696633,3.6510200696633
17.154,1,0,1,8,0.0113674356402609,0.0113674356402609
17.327,1,0.3,2,8,0.358408559010375,0.358408559010375
17.478,1,0.6,3,8,0.66131728518891,0.66131728518891
17.646,1,1,4,8,0.998328318288207,0.998328318288207
17.823,1,1.3,5,8,1.35339351387497,1.35339351387497
18.146,1,2,7,8,2.00133734536945,2.00133734536945
18.325,1,2.3,8,8,2.36041457706453,2.36041457706453
18.636,1,3,10,8,2.98428619190907,2.98428619190907
18.809,1,3.3,11,8,3.33132731527918,3.33132731527918
19.139,1,0,1,9,-0.00689536286846467,-0.00689536286846467
19.312,1,0.3,2,9,0.350973970005181,0.350973970005181
19.464,1,0.6,3,9,0.66540251680745,0.66540251680745
19.638,1,1,4,9,1.02534045854164,1.02534045854164
19.797,1,1.3,5,9,1.3542492673677,1.3542492673677
19.952,1,1.6,6,9,1.6748836407516,1.6748836407516
20.118,1,2,7,9,2.01827271160145,2.01827271160145
20.282,1,2.3,8,9,2.35752456473022,2.35752456473022
