onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
0.044,0,NaN,NaN,NaN,NaN,NaN
0.311,0,NaN,NaN,NaN,NaN,NaN
0.65,0,NaN,NaN,NaN,NaN,NaN
1.213,0,NaN,NaN,1,NaN,NaN
1.758,0,NaN,NaN,1,NaN,NaN
2.325,0,NaN,NaN,1,NaN,NaN
2.571,0,NaN,NaN,1,NaN,NaN
2.903,0,NaN,NaN,1,NaN,NaN
3.245,0,NaN,NaN,1,NaN,NaN
3.533,0,0,1,2,0.130179297875546,0.130179297875546
3.844,1,0.6,3,2,0.692481542865753,0.692481542865753
4.055,0,1,4,2,1.07397920747326,1.07397920747326
4.411,0,1.6,6,2,1.71764351363568,1.71764351363568
4.774,1,2.3,8,2,2.37396414042489,2.37396414042489
5.118,1,3,10,2,2.99593189694139,2.99593189694139
5.481,1,3.6,12,2,3.6522525237306,3.6522525237306
5.834,1,0.3,2,3,0.298498219538628,0.298498219538628
6.049,1,0.6,3,3,0.697940857717914,0.697940857717914
6.384,1,1.3,5,3,1.32032822418331,1.32032822418331
9.413,1,3,10,4,2.96665627921471,2.96665627921471
9.511,0,3,10,4,3.14989093175444,3.14989093175444
9.634,1,3.3,11,4,3.37986911810533,3.37986911810533
9.819,0,3.6,12,4,3.72577126830788,3.72577126830788
10.073,0,0,1,5,0.203539823008849,0.203539823008849
10.32,1,0.6,3,5,0.671934260429836,0.671934260429836
10.851,1,1.6,6,5,1.67888748419722,1.67888748419722
11.209,1,2.3,8,5,2.35777496839444,2.35777496839444
11.901,1,3.6,12,5,3.6700379266751,3.6700379266751
12.153,0,0,1,6,0.145862552594676,0.145862552594676
12.439,1,0.6,3,6,0.680691912108466,0.680691912108466
12.652,0,1,4,6,1.07900888265545,1.07900888265545
12.967,1,1.6,6,6,1.66806919121085,1.66806919121085
13.341,1,2.3,8,6,2.36746143057504,2.36746143057504
13.667,1,3,10,6,2.97709209911174,2.97709209911174
14.017,1,3.6,12,6,3.63160355306218,3.63160355306218
14.284,0,0,1,7,0.131393711872364,0.131393711872364
14.57,1,0.6,3,7,0.668230877522293,0.668230877522293
15.107,1,1.6,6,7,1.67620835288597,1.67620835288597
15.475,1,2.3,8,7,2.36696386672924,2.36696386672924
15.828,1,3,10,7,3.02956358517128,3.02956358517128
16.182,1,3.6,12,7,3.69404035664007,3.69404035664007
16.544,1,0.3,2,8,0.376359338061468,0.376359338061468
16.875,1,1,4,8,1.00236406619385,1.00236406619385
17.231,1,1.6,6,8,1.67565011820331,1.67565011820331
17.936,1,3,10,8,3.00898345153664,3.00898345153664
19.127,1,1.3,5,9,1.28578313253011,1.28578313253011
19.212,0,1.6,6,9,1.44963855421686,1.44963855421686
19.321,1,1.6,6,9,1.65975903614458,1.65975903614458
19.492,1,2,7,9,1.98939759036144,1.98939759036144
19.676,1,2.3,8,9,2.34409638554216,2.34409638554216
19.837,1,2.6,9,9,2.6544578313253,2.6544578313253
20.002,1,3,10,9,2.97253012048192,2.97253012048192
20.195,1,3.3,11,9,3.34457831325301,3.34457831325301
22.095,1,3,10,10,2.95559502664298,2.95559502664298
22.183,0,3,10,10,3.1223208999408,3.1223208999408
22.304,1,3.3,11,10,3.35156897572528,3.35156897572528
22.473,1,3.6,12,10,3.67175843694494,3.67175843694494
22.668,1,0,1,11,0.0413678329436953,0.0413678329436953
23.008,1,0.6,3,11,0.688037405396838,0.688037405396838
23.533,1,1.6,6,11,1.68657130403772,1.68657130403772
24.216,1,3,10,11,2.98561635693624,2.98561635693624
24.435,1,3.3,11,11,3.40214764036929,3.40214764036929
24.93,1,0.3,2,12,0.349790254920937,0.349790254920937
25.121,1,0.6,3,12,0.719586963536618,0.719586963536618
25.577,1,1.6,6,12,1.60245240400129,1.60245240400129
25.789,1,2,7,12,2.01290738948048,2.01290738948048
26.305,1,3,10,12,3.01193933526944,3.01193933526944
26.501,1,3.3,11,12,3.39141658599549,3.39141658599549
27.002,1,0.3,2,13,0.36088287417432,0.36088287417432
27.191,1,0.6,3,13,0.726276784275818,0.726276784275818
27.403,0,1,4,13,1.13613661994522,1.13613661994522
27.649,1,1.6,6,13,1.61172869341067,1.61172869341067
