Onset_time,Cycle_number,Metric_location,Metric_location_index,Phase,Is_included_in_grid
1568.877,1,NaN,NaN,NaN,0
1569.444,1,NaN,NaN,NaN,0
1570.051,1,NaN,NaN,NaN,0
1570.672,2,0,1,-0.0079342589969541,1
1571.251,2,1.3,5,1.30461887220174,1
1571.568,2,2,7,2.02323604420526,1
1571.988,2,3,10,2.9753471238315,1
1572.116,2,3.3,11,3.2655143100031,1
1572.441,3,0,1,0.00233100233147705,1
1572.993,3,1.3,5,1.28904428904446,1
1573.287,3,2,7,1.97435897435932,1
1573.721,3,3,10,2.98601398601419,1
1573.976,3,3.6,12,3.58041958041999,1
1574.153,4,0,1,-0.00720720720703694,1
1574.423,4,0.6,3,0.641441441441582,1
1574.692,4,1.3,5,1.28768768768786,1
1575.015,4,2,7,2.06366366366407,1
1575.397,4,3,10,2.98138138138141,1
1575.66,4,3.6,12,3.61321321321361,1
1575.821,5,0,1,0,1
1576.083,5,0.6,3,0.622143069160368,1
1576.356,5,1.3,5,1.27040664885737,1
1576.695,5,2,7,2.07539329177794,1
1577.085,5,3,10,3.00148411991706,1
1577.343,5,3.6,12,3.61412882160902,1
1577.504,6,0,1,-0.00359604435140119,1
1577.752,6,0.6,3,0.590949955049373,1
1578.039,6,1.3,5,1.27899310758167,1
1578.364,6,2,7,2.05813605034475,1
1578.759,6,3,10,3.0050943961643,1
1579.008,6,3.6,12,3.60203775846583,1
1579.179,7,0,1,0.0120228434027263,1
1579.429,7,0.6,3,0.61316501352592,1
1579.705,7,1.3,5,1.27682596934154,1
1580.028,7,2,7,2.05350165314093,1
1580.421,7,3,10,2.99849714457466,1
1580.679,7,3.6,12,3.61887586414189,1
1580.843,8,0,1,0.0134187252210659,1
1581.099,8,0.6,3,0.637999390057648,1
1581.367,8,1.3,5,1.29185727355888,1
1581.681,8,2,7,2.05794449527311,1
1582.064,8,3,10,2.99237572430658,1
1582.316,8,3.6,12,3.60719731625531,1
1582.475,9,0,1,-0.00490496627824059,1
1582.724,9,0.6,3,0.605763335377211,1
1582.997,9,1.3,5,1.27529123237322,1
1583.309,9,2,7,2.0404659717966,1
1583.704,9,3,10,3.00919681177198,1
1583.949,9,3.6,12,3.61005518087095,1
1584.109,10,0,1,0.00249843847589327,1
1584.351,10,0.6,3,0.607120549656835,1
1584.625,10,1.3,5,1.2916926920675,1
1584.928,10,2,7,2.04871955028134,1
1585.296,10,3,10,2.96814490943165,1
1585.547,10,3.6,12,3.59525296689563,1
1585.709,11,0,1,0,1
1585.964,11,0.6,3,0.625383200490174,1
1586.228,11,1.3,5,1.27283874923355,1
1586.543,11,2,7,2.04537093807428,1
1586.925,11,3,10,2.98221949724054,1
1587.177,11,3.6,12,3.60024524831335,1
1587.345,12,0,1,0.0124610591897381,1
1587.595,12,0.6,3,0.635514018691377,1
1587.855,12,1.3,5,1.28348909657306,1
1588.161,12,2,7,2.04610591900316,1
1588.539,12,3,10,2.98816199376947,1
1588.787,12,3.6,12,3.60623052959521,1
1588.951,13,0,1,0.0150470219437878,1
1589.191,13,0.6,3,0.616927899686747,1
1589.449,13,1.3,5,1.2639498432605,1
1589.757,13,2,7,2.03636363636392,1
1590.129,13,3,10,2.96927899686508,1
1590.379,13,3.6,12,3.59623824451397,1
1590.532,14,0,1,-0.0201447906831325,1
1590.771,14,0.6,3,0.581680830972661,1
1591.028,14,1.3,5,1.22883223166536,1
1591.349,14,2,7,2.03714195782197,1
1591.715,14,3,10,2.95876613157085,1
1591.971,14,3.6,12,3.60339943342823,1
1592.128,15,0,1,-0.00126595632418893,1
1592.369,15,0.6,3,0.608924992088007,1
1592.619,15,1.3,5,1.24190315434136,1
1592.943,15,2,7,2.06224285262188,1
1593.305,15,3,10,2.97879523156494,1
1593.552,15,3.6,12,3.60417765587086,1
1593.708,16,0,1,-0.000845665961540507,1
1593.941,16,0.6,3,0.590274841437929,1
1594.195,16,1.3,5,1.23467230443983,1
1594.516,16,2,7,2.04904862579329,1
1594.875,16,3,10,2.95983086680793,1
1595.12,16,3.6,12,3.58139534883728,1
1595.275,17,0,1,-0.0254129606093127,1
1595.515,17,0.6,3,0.584498094028637,1
1595.771,17,1.3,5,1.23506988564206,1
1596.091,17,2,7,2.04828462515914,1
1596.457,17,3,10,2.97839898348252,1
1596.705,17,3.6,12,3.60864040660792,1
1596.855,18,0,1,-0.0102476515790185,1
1597.089,18,0.6,3,0.589239965841623,1
1597.34,18,1.3,5,1.23228010247673,1
1597.655,18,2,7,2.03928266438954,1
1598.015,18,3,10,2.96157130657577,1
1598.256,18,3.6,12,3.57899231426129,1
1598.416,19,0,1,-0.0110850564916698,1
1598.659,19,0.6,3,0.610530803666679,1
1598.916,19,1.3,5,1.26795992325715,1
1599.211,19,2,7,2.02259646130914,1
1599.589,19,3,10,2.98955446599906,1
1599.831,19,3.6,12,3.60861223619739,1
1599.98,20,0,1,-0.0103459424498598,1
