Onset_time,Cycle_number,Metric_location,Metric_location_index,Phase,Is_included_in_grid
345.748,1,NaN,NaN,NaN,0
346.344,1,NaN,NaN,NaN,0
346.931,1,NaN,NaN,NaN,0
347.549,2,0,1,-0.0102573495742277,1
347.676,2,0.3,2,0.268889092407666,1
347.827,2,0.6,3,0.600787617913695,1
348.105,2,1.3,5,1.21183258540162,1
348.256,2,1.6,6,1.54373111090752,1
348.732,2,2.6,9,2.58998076746962,1
349.388,3,0,1,0.0329451860266922,1
349.921,3,1.3,5,1.24396478273218,1
350.241,3,2,7,1.97103095711443,1
350.687,3,3,10,2.98437943765977,1
351.136,4,0,1,0.00459638035049596,1
351.695,4,1.3,5,1.28928468830791,1
352.001,4,2,7,1.9925308819304,1
352.451,4,3,10,3.02671646078715,1
352.877,5,0,1,0.0058599472604695,1
353.439,5,1.3,5,1.32317609141524,1
353.752,5,2,7,2.05684148842666,1
354.176,5,3,10,3.05068854380314,1
354.596,6,0,1,0.0354540082727037,1
355.121,6,1.3,5,1.2763442978137,1
355.428,6,2,7,2.00196966712632,1
355.855,6,3,10,3.01122710261976,1
356.279,7,0,1,0.0135188866799623,1
356.813,7,1.3,5,1.28747514910538,1
357.124,7,2,7,2.02942345924463,1
357.533,7,3,10,3.00516898608357,1
357.952,8,0,1,0.00475624256839365,1
358.48,8,1.3,5,1.26040428061837,1
358.776,8,2,7,1.96432818073725,1
359.207,8,3,10,2.98929845422115,1
359.643,9,0,1,0.0265861027189545,1
360.159,9,1.3,5,1.27371601208458,1
360.463,9,2,7,2.00845921450159,1
360.88,9,3,10,3.0163141993958,1
361.281,10,0,1,-0.0142602495542998,1
361.823,10,1.3,5,1.27391562685677,1
362.124,10,2,7,1.98930481283428,1
362.544,10,3,10,2.98752228163985,1
362.973,11,0,1,0.00728376327765934,1
363.488,11,1.3,5,1.25766312594836,1
363.795,11,2,7,2.0030349013657,1
364.209,11,3,10,3.00819423368738,1
364.611,12,0,1,-0.0156831205388967,1
365.135,12,1.3,5,1.24861767367043,1
365.436,12,2,7,1.9748667940082,1
365.86,12,3,10,2.99788881069674,1
366.283,13,0,1,0.0186802030457509,1
366.807,13,1.3,5,1.29543147208125,1
367.101,13,2,7,2.01177664974617,1
367.503,13,3,10,2.99126903553291,1
367.756,13,3.6,12,3.60771573604048,1
367.915,14,0,1,-0.00480000000002303,1
368.155,14,0.6,3,0.571199999999875,1
368.436,14,1.3,5,1.24559999999991,1
368.761,14,2,7,2.02560000000003,1
369.177,14,3,10,3.02400000000005,1
369.421,14,3.6,12,3.60959999999999,1
369.587,15,0,1,0.00808407437347682,1
369.835,15,0.6,3,0.609539207760676,1
370.104,15,1.3,5,1.26192400970086,1
370.419,15,2,7,2.02586903799511,1
370.817,15,3,10,2.99110751818918,1
371.071,15,3.6,12,3.60711398544872,1
371.235,16,0,1,0.00485240598465725,1
371.477,16,0.6,3,0.591993530125288,1
371.759,16,1.3,5,1.27618277395879,1
372.08,16,2,7,2.05499393449248,1
372.467,16,3,10,2.99393449251918,1
372.712,16,3.6,12,3.58835422563686,1
372.881,17,0,1,-0.00163015792160272,1
373.124,17,0.6,3,0.59256240448299,1
373.399,17,1.3,5,1.26500254712173,1
373.716,17,2,7,2.04014263881811,1
374.081,17,3,10,2.93265410086599,1
374.34,17,3.6,12,3.56597045338752,1
374.507,18,0,1,-0.0258806613947693,1
374.755,18,0.6,3,0.58539591249862,1
375.033,18,1.3,5,1.27061723323403,1
375.34,18,2,7,2.0273184759165,1
375.719,18,3,10,2.96148711101979,1
375.981,18,3.6,12,3.60727123343944,1
376.151,19,0,1,0.0261117911057037,1
376.391,19,0.6,3,0.613627090983342,1
376.659,19,1.3,5,1.26968584251328,1
376.956,19,2,7,1.99673602611189,1
377.369,19,3,10,3.00775193798465,1
377.625,19,3.6,12,3.6344349245207,1
377.791,20,0,1,0.0405967725566826,1
378.017,20,0.6,3,0.591089008423919,1
378.284,20,1.3,5,1.24144930478034,1
378.603,20,2,7,2.01847153151334,1
378.996,20,3,10,2.97574342839745,1
379.252,20,3.6,12,3.59930985486661,1
379.421,21,0,1,0.010849909584104,1
379.676,21,0.6,3,0.625678119348994,1
379.939,21,1.3,5,1.25979505726346,1
380.24,21,2,7,1.98553345388788,1
380.651,21,3,10,2.97649186256779,1
380.912,21,3.6,12,3.60578661844472,1
381.076,22,0,1,0.00122963418380126,1
381.317,22,0.6,3,0.593913310789988,1
381.587,22,1.3,5,1.25791577005833,1
381.893,22,2,7,2.01045189056245,1
382.283,22,3,10,2.96956655395022,1
382.535,22,3.6,12,3.58930218260073,1
