Onset_time,Cycle_number,Metric_location,Metric_location_index,Phase,Is_included_in_grid
864.405,1,NaN,NaN,NaN,0
864.476,1,NaN,NaN,NaN,0
864.572,1,NaN,NaN,NaN,0
864.681,1,NaN,NaN,NaN,0
864.875,1,NaN,NaN,NaN,0
865.139,1,NaN,NaN,NaN,0
865.444,1,NaN,NaN,NaN,0
865.915,1,NaN,NaN,NaN,0
866.113,1,NaN,NaN,NaN,0
866.376,2,0.3,2,0.275823871503522,1
866.545,2,0.6,3,0.650235391857969,1
866.748,2,1,4,1.09997230684018,1
866.996,2,1.6,6,1.64940459706437,1
867.259,2,2.3,8,2.23206867903621,1
867.431,2,2.6,9,2.61312655774024,1
867.623,2,3,10,3.03849349210748,1
867.873,2,3.6,12,3.59235668789814,1
868.163,3,0.3,2,0.239480372776044,1
868.379,3,0.6,3,0.727478113527271,0
868.609,3,1.3,5,1.24710533747536,1
868.784,3,1.6,6,1.64247387743573,1
869.025,3,2.3,8,2.18695283818125,1
869.197,3,2.6,9,2.57554363174246,1
869.381,3,3,10,2.99124541090083,1
869.631,3,3.6,12,3.55605761084435,1
869.947,4,0.3,2,0.27463372594086,1
870.213,4,1,4,0.885952312553817,1
870.312,4,1,4,1.11347313990239,0
870.393,4,1.3,5,1.29962654409662,1
870.523,4,1.6,6,1.59839126687742,1
870.792,4,2.3,8,2.21660442401619,1
870.953,4,2.6,9,2.58661304222922,1
871.129,4,3,10,2.99109451307104,1
871.381,4,3.6,12,3.57023843723065,1
871.667,5,0.3,2,0.229498696030242,1
871.825,5,0.6,3,0.595769342219786,1
871.92,5,1,4,0.815995363662644,0
872.023,5,1,4,1.05476673428001,1
872.12,5,1.3,5,1.27962909301656,1
872.24,5,1.6,6,1.55780933062885,1
872.328,5,1.6,6,1.76180817154445,0
872.448,5,2,7,2.03998840915674,1
872.555,5,2.3,8,2.28803245436096,1
872.657,5,2.6,9,2.52448565633161,1
872.745,5,2.6,9,2.72848449724721,0
872.86,5,3,10,2.99507389162567,1
872.949,5,3.3,11,3.20139090118798,1
873.853,6,1.3,5,1.26942711287574,1
874.005,6,1.6,6,1.61429381735685,1
874.293,6,2.3,8,2.26772546795248,1
874.448,6,2.6,9,2.61939875212714,1
874.729,6,3.3,11,3.25694838343758,1
874.883,6,3.6,12,3.60635280771439,1
875.163,7,0.3,2,0.247602441151034,1
875.313,7,0.6,3,0.596338273757755,1
875.595,7,1.3,5,1.25196163905858,1
875.743,7,1.6,6,1.59604766056399,1
876.025,7,2.3,8,2.25167102586455,1
876.172,7,2.6,9,2.5934321418193,1
876.447,7,3.3,11,3.232781168265,1
876.588,7,3.6,12,3.56059285091528,1
877.037,8,0.6,3,0.60127192137213,1
877.319,8,1.3,5,1.25342069762944,1
877.459,8,1.6,6,1.57718250144519,1
877.883,8,2.6,9,2.5577182501446,1
878.328,8,3.6,12,3.58681826941602,1
878.511,9,0,1,0.0100677637947104,1
878.615,9,0.3,2,0.251694094869344,1
878.749,9,0.6,3,0.563020329138492,1
879.041,9,1.3,5,1.24143272023245,1
879.177,9,1.6,6,1.55740561471446,1
879.599,9,2.6,9,2.53785091965158,1
880.044,9,3.6,12,3.57173281703767,1
880.225,10,0,1,-0.00780944943380805,1
880.336,10,0.3,2,0.252245216712213,1
880.472,10,0.6,3,0.570870753611795,1
880.763,10,1.3,5,1.25263568918398,1
880.897,10,1.6,6,1.56657555642339,1
881.323,10,2.6,9,2.5646231940648,1
881.756,10,3.6,12,3.57907067551737,1
881.939,11,0,1,0.00784929356357161,1
882.041,11,0.3,2,0.248037676609291,1
882.175,11,0.6,3,0.563579277864923,1
882.463,11,1.3,5,1.24175824175815,1
882.605,11,1.6,6,1.57613814756673,1
883.033,11,2.6,9,2.58398744113024,1
883.212,11,3,10,3.00549450549435,1
883.317,11,3.3,11,3.25274725274713,1
883.453,11,3.6,12,3.57299843014106,1
883.636,12,0,1,0.00400480576664374,1
883.732,12,0.3,2,0.234681617941276,1
883.872,12,0.6,3,0.57108530236257,1
884.144,12,1.3,5,1.22466960352412,1
884.283,12,1.6,6,1.55867040448532,1
884.695,12,2.6,9,2.54865839006816,1
885.113,12,3.6,12,3.55306367641185,1
885.297,13,0,1,-0.00480384307434588,1
885.404,13,0.3,2,0.252201761409166,1
885.539,13,0.6,3,0.576461168935159,1
885.819,13,1.3,5,1.24899919935942,1
885.953,13,1.6,6,1.57085668534824,1
886.373,13,2.6,9,2.57966373098491,1
886.547,13,3,10,2.99759807846283,1
886.653,13,3.3,11,3.25220176140917,1
886.795,13,3.6,12,3.59327461969564,1
886.965,14,0,1,0.00160578081097263,1
887.064,14,0.3,2,0.240064231232329,1
887.208,14,0.6,3,0.586912886390915,1
887.481,14,1.3,5,1.24448012846244,1
887.628,14,1.6,6,1.59855479727026,1
888.212,14,3,10,3.00521878763546,1
888.311,14,3.3,11,3.24367723805709,1
888.457,14,3.6,12,3.59534323564832,1
889.044,15,1,4,1.0142208774584,1
889.145,15,1.3,5,1.25869894099851,1
889.291,15,1.6,6,1.61210287443289,1
889.559,15,2.3,8,2.26081694402424,1
889.701,15,2.6,9,2.60453857791244,1
889.875,15,3,10,3.02571860816959,1
889.968,15,3.3,11,3.25083207261731,1
890.113,15,3.6,12,3.60181543116522,1
890.697,16,1,4,1.0117576123004,1
890.797,16,1.3,5,1.25293940307524,1
890.939,16,1.6,6,1.59541754597528,1
891.521,16,3,10,2.99909556828448,1
891.617,16,3.3,11,3.23063008742828,1
891.761,16,3.6,12,3.57793186614397,1
892.177,17,0.6,3,0.591229684145938,1
892.347,17,1,4,1.00827966881312,1
892.44,17,1.3,5,1.23643054277835,1
892.591,17,1.6,6,1.60686905857094,1
892.856,17,2.3,8,2.25697638761108,1
892.991,17,2.6,9,2.58816314014096,1
893.155,17,3,10,2.99049371358467,1
893.392,17,3.6,12,3.57191045691513,1
893.668,18,0.3,2,0.249615739317545,1
893.956,18,1,4,0.957885029203895,1
894.043,18,1.3,5,1.17184137719036,1
894.121,18,1.3,5,1.36366430986785,0
894.223,18,1.6,6,1.61450968336919,1
894.459,18,2.3,8,2.19489701813713,1
894.623,18,2.6,9,2.59821703043375,1
894.871,18,3.3,11,3.20811558561348,1
895.191,19,0,1,-0.00497100248510045,1
895.42,19,0.6,3,0.564208782104536,1
895.604,19,1,4,1.02154101077079,1
895.804,19,1.6,6,1.51864125932068,1
896.012,19,2,7,2.03562551781267,1
896.213,19,2.6,9,2.53521126760553,1
896.396,19,3,10,2.99005799502881,1
896.616,19,3.6,12,3.53686826843394,1
896.795,20,0,1,-0.0184525057667363,1
897.02,20,0.6,3,0.547703921157258,1
897.288,20,1.3,5,1.2220591318934,1
897.44,20,1.6,6,1.60452925141546,1
897.596,20,2,7,1.99706437408259,1
897.82,20,2.6,9,2.56070455022032,1
897.979,20,3,10,2.96078842524654,1
898.213,20,3.6,12,3.54959110924725,1
898.295,20,3.6,12,3.75592367372618,0
898.387,21,0,1,-0.0124378109452618,1
898.493,21,0.3,2,0.251243781094798,1
898.776,21,1,4,0.955223880597015,1
898.861,21,1.3,5,1.16666666666675,0
898.924,21,1.3,5,1.32338308457716,1
899.04,21,1.6,6,1.61194029850746,1
899.285,21,2.3,8,2.22139303482586,1
899.429,21,2.6,9,2.57960199004974,1
899.675,21,3.3,11,3.19154228855713,1
900.492,22,1.3,5,1.22046511627901,1
900.651,22,1.6,6,1.61488372093016,1
900.888,22,2.3,8,2.20279069767456,1
901.047,22,2.6,9,2.59720930232572,1
901.309,22,3.3,11,3.24713178294575,1
902.125,23,1.3,5,1.26465144972243,1
902.275,23,1.6,6,1.63479333744598,1
902.508,23,2.3,8,2.20974706971013,1
902.661,23,2.6,9,2.58729179518798,1
902.917,23,3.3,11,3.21900061690314,1
903.72,24,1.3,5,1.2185347526612,1
903.872,24,1.6,6,1.59924859110812,1
904.136,24,2.3,8,2.26048841577941,1
904.271,24,2.6,9,2.59862241703174,1
904.529,24,3.3,11,3.24483406386966,1
904.668,24,3.6,12,3.59298685034433,1
904.929,25,0.3,2,0.248658882928239,1
905.065,25,0.6,3,0.591984853266103,1
905.321,25,1.3,5,1.23824550331339,1
905.465,25,1.6,6,1.60176711896505,1
905.725,25,2.3,8,2.25812559166937,1
905.857,25,2.6,9,2.59135373934991,1
906.112,25,3.3,11,3.23508993373301,1
906.26,25,3.6,12,3.60870937204171,1
906.511,26,0.3,2,0.243603298794667,1
906.644,26,0.6,3,0.581095368999862,1
906.9,26,1.3,5,1.23070416578554,1
907.045,26,1.6,6,1.59864664833993,1
907.305,26,2.3,8,2.25840558257543,1
907.432,26,2.6,9,2.58067244660603,1
907.692,26,3.3,11,3.24043138084154,1
907.828,26,3.6,12,3.58553605413389,1
907.989,27,0,1,-0.00598035027771208,1
908.083,27,0.3,2,0.234942332336399,1
908.223,27,0.6,3,0.593763348995919,1
908.377,27,1,4,0.98846646732142,1
908.477,27,1.3,5,1.24476719350687,1
908.769,27,2,7,1.99316531396831,1
908.871,27,2.3,8,2.25459205467735,1
909.005,27,2.6,9,2.59803502776582,1
909.16,27,3,10,2.99530115335311,1
909.248,27,3.3,11,3.22084579239646,1
910.071,28,1.3,5,1.2841237113403,1
910.207,28,1.6,6,1.62061855670107,1
910.375,28,2,7,2.0362886597939,1
910.863,28,3.3,11,3.24371134020649,1
911.001,28,3.6,12,3.58515463917538,1
911.167,29,0,1,-0.00424808835994387,1
911.563,29,1,4,1.00509770603238,1
911.645,29,1.3,5,1.21410365335605,1
911.797,29,1.6,6,1.60152931180982,1
912.052,29,2.3,8,2.25148683092615,1
912.183,29,2.6,9,2.58538657604075,1
912.435,29,3.3,11,3.22769753610854,1
912.567,29,3.6,12,3.56414613423951,1
912.744,30,0,1,0.0152736529485931,1
913.149,30,1,4,1.0462452269834,1
913.227,30,1.3,5,1.24480271531598,1
913.369,30,1.6,6,1.60627916843451,1
913.625,30,2.3,8,2.25795502757748,1
913.753,30,2.6,9,2.5837929571491,1
913.912,30,3,10,2.9885447602887,1
914.003,30,3.3,11,3.22019516334347,1
914.141,30,3.6,12,3.57148918116256,1
914.311,31,0,1,0.00427715996607023,1
914.807,31,1.3,5,1.27715996578285,1
914.9,31,1.6,6,1.51582549187341,1
914.991,31,1.6,6,1.74935842600515,0
915.092,31,2,7,2.00855431993156,1
915.184,31,2.3,8,2.2446535500427,1
915.311,31,2.6,9,2.57057313943549,1
915.48,31,3,10,3.00427715996578,1
916.076,32,0.6,3,0.537236332328839,1
916.159,32,0.6,3,0.751614291863858,0
916.257,32,1,4,1.0047352561341,1
916.351,32,1.3,5,1.24752475247518,1
916.739,32,2.3,8,2.24967714162729,1
916.877,32,2.6,9,2.60611278519146,1
917.032,32,3,10,3.00645716745602,1
917.128,32,3.3,11,3.25441239776168,1
917.265,32,3.6,12,3.60826517434356,1
917.42,33,0,1,0.00863371465572249,1
917.512,33,0.3,2,0.24692423915384,1
917.652,33,0.6,3,0.609540254694774,1
917.809,33,1,4,1.01618821497948,1
917.901,33,1.3,5,1.2544787394776,1
918.035,33,1.6,6,1.60155406863799,1
918.189,33,2,7,2.00043168573273,1
918.281,33,2.3,8,2.23872221023084,1
918.412,33,2.6,9,2.57802719620127,1
918.569,33,3,10,2.98467515648597,1
918.655,33,3.3,11,3.20742499460385,1
919.185,34,0.6,3,0.57787810383732,1
919.439,34,1.3,5,1.23315059658167,1
919.581,34,1.6,6,1.59948403740736,1
919.956,34,2.6,9,2.56691389874245,1
