Onset_time,Cycle_number,Metric_location,Metric_location_index,Phase,Is_included_in_grid
1094.417,1,NaN,NaN,NaN,0
1094.633,1,NaN,NaN,NaN,0
1094.9,1,NaN,NaN,NaN,0
1095.115,1,NaN,NaN,NaN,0
1095.377,1,NaN,NaN,NaN,0
1095.48,1,NaN,NaN,NaN,0
1095.597,1,NaN,NaN,NaN,0
1095.721,1,NaN,NaN,NaN,0
1095.857,1,NaN,NaN,NaN,0
1096.041,2,0,1,-0.0465280225593857,1
1096.625,2,1.3,5,1.18857948537171,1
1096.709,2,1.3,5,1.36623193514273,0
1096.816,2,1.6,6,1.59252731758892,1
1096.899,2,1.6,6,1.76806485724319,0
1097.023,2,2,7,2.03031371166694,1
1097.159,2,2.3,8,2.31794148748689,1
1097.297,2,2.6,9,2.6097990835389,1
1097.464,2,3,10,2.96298907296419,1
1097.58,2,3.3,11,3.2083186464573,1
1097.659,2,3.3,11,3.37539654564697,0
1097.755,2,3.6,12,3.57842791681371,1
1097.835,2,3.6,12,3.74762072611917,0
1097.951,3,0,1,-0.00717102904266113,1
1098.089,3,0.3,2,0.289709573323608,1
1098.227,3,0.6,3,0.586590175690366,1
1098.4,3,1,4,0.958766583004821,1
1098.599,3,1.3,5,1.38687701685174,0
1098.693,3,1.6,6,1.58910003585508,1
1098.777,3,1.6,6,1.76980996773043,0
1098.903,3,2,7,2.04087486554322,1
1099.04,3,2.3,8,2.33560415919674,1
1099.177,3,2.6,9,2.63033345285026,1
1099.344,3,3,10,2.98960200788821,1
1099.528,3,3.3,11,3.3854428110434,0
1099.621,3,3.6,12,3.58551452133399,1
1099.707,3,3.6,12,3.77052707063484,0
1099.82,4,0,1,0.0139296187681666,1
1099.956,4,0.3,2,0.313049853372218,1
1100.095,4,0.6,3,0.618768328445822,1
1100.257,4,1,4,0.975073313783162,1
1100.373,4,1.3,5,1.23020527859253,1
1100.445,4,1.3,5,1.38856304985329,0
1100.54,4,1.6,6,1.59750733137829,1
1100.625,4,1.6,6,1.78445747800595,0
1100.737,4,2,7,2.03079178885658,1
1100.869,4,2.3,8,2.32111436950139,1
1101.007,4,2.6,9,2.62463343108531,1
1101.181,4,3,10,3.00733137829936,1
1101.284,4,3.3,11,3.23387096774234,1
1101.617,5,0,1,-0.0336811275854426,1
1101.896,5,0.6,3,0.579168954786825,1
1102.353,5,1.6,6,1.58301299652229,1
1102.807,5,2.6,9,2.58026725242546,1
1103.249,5,3.6,12,3.55116236500091,1
1103.431,6,0,1,-0.0504613067219085,1
1103.556,6,0.3,2,0.231971380154414,1
1103.696,6,0.6,3,0.548295989455608,1
1104.139,6,1.6,6,1.54923743174526,1
1104.32,6,2,7,1.95819996234227,1
1104.441,6,2.3,8,2.23159480323876,1
1104.585,6,2.6,9,2.5569572585203,1
1105.025,6,3.6,12,3.55112031632508,1
1105.231,7,0,1,0.0165975103737365,1
1105.477,7,0.6,3,0.573368540173988,1
1105.919,7,1.6,6,1.57374575631879,1
1106.363,7,2.6,9,2.57864956620169,1
1106.803,7,3.6,12,3.57450018860839,1
1106.976,8,0,1,-0.0343642611680913,1
1107.107,8,0.3,2,0.265750286368795,1
1107.247,8,0.6,3,0.586483390607266,1
1107.416,8,1,4,0.973654066437415,1
1107.535,8,1.3,5,1.24627720504025,1
1107.683,8,1.6,6,1.58533791523475,1
1107.857,8,2,7,1.98396334478795,1
1107.977,8,2.3,8,2.25887743413528,1
1108.125,8,2.6,9,2.59793814432979,1
1108.288,8,3,10,2.97136311569291,1
1108.408,8,3.3,11,3.24627720503972,1
1108.557,8,3.6,12,3.58762886597926,1
1108.732,9,0,1,-0.0113378684809738,1
1108.857,9,0.3,2,0.272108843537183,1
1108.993,9,0.6,3,0.580498866212864,1
1109.292,9,1.3,5,1.25850340136025,1
1109.432,9,1.6,6,1.57596371882081,1
1109.877,9,2.6,9,2.58503401360531,1
1110.317,9,3.6,12,3.58276643990934,1
1110.484,10,0,1,-0.0396116504855591,1
1110.608,10,0.3,2,0.249320388349442,1
1110.753,10,0.6,3,0.587184466019297,1
1110.924,10,1,4,0.985631067961152,1
1111.037,10,1.3,5,1.24893203883507,1
1111.183,10,1.6,6,1.58912621359224,1
1111.353,10,2,7,1.98524271844677,1
1111.477,10,2.3,8,2.27417475728178,1
1111.62,10,2.6,9,2.60737864077645,1
1111.784,10,3,10,2.98951456310704,1
1111.893,10,3.3,11,3.24349514563113,1
1112.033,10,3.6,12,3.56970873786384,1
1112.212,11,0,1,-0.0132269986384392,1
1112.332,11,0.3,2,0.266874148998504,1
1112.651,11,1,4,1.01147636646588,1
1112.756,11,1.3,5,1.25656487064801,1
1112.905,11,1.6,6,1.60435712896328,1
1113.08,11,2,7,2.01283796926664,1
1113.205,11,2.3,8,2.30460999805484,1
1113.504,11,3,10,3.00252869091615,1
1113.62,11,3.3,11,3.27329313363156,1
1113.759,11,3.6,12,3.59774362964432,1
1113.921,12,0,1,-0.024361493123374,1
1114.044,12,0.3,2,0.265618860511307,1
1114.341,12,1,4,0.965815324165035,1
1114.463,12,1.3,5,1.25343811394908,1
1114.605,12,1.6,6,1.58821218074684,1
1114.768,12,2,7,1.97249508840894,1
1114.891,12,2.3,8,2.26247544204362,1
1115.199,12,3,10,2.98860510805537,1
1115.32,12,3.3,11,3.27387033398825,1
1115.456,12,3.6,12,3.59449901768168,1
1115.617,13,0,1,-0.0259510468887455,1
1115.737,13,0.3,2,0.257151282807782,1
1116.041,13,1,4,0.974343851371281,1
1116.161,13,1.3,5,1.25744618106781,1
1116.3,13,1.6,6,1.58537304629905,1
1116.469,13,2,7,1.98407549395483,1
1116.585,13,2.3,8,2.25774107932783,1
1116.727,13,2.6,9,2.59274550280185,1
1116.888,13,3,10,2.97257446181059,1
1116.999,13,3.3,11,3.23444411677986,1
1117.144,13,3.6,12,3.57652609849612,1
1117.564,14,0.6,3,0.571202375062113,1
1117.981,14,1.6,6,1.5616031667492,1
1118.401,14,2.6,9,2.55912914398836,1
1118.823,14,3.6,12,3.56140524492855,1
1118.995,15,0,1,-0.030387844862246,1
1119.112,15,0.3,2,0.250299880048246,1
1119.251,15,0.6,3,0.583766493402659,1
1119.411,15,1,4,0.967612954818293,1
1119.524,15,1.3,5,1.23870451819254,1
1119.672,15,1.6,6,1.59376249500215,1
1119.835,15,2,7,1.98480607756915,1
1119.953,15,2.3,8,2.26789284286289,1
1120.099,15,2.6,9,2.61815273890437,1
1120.26,15,3,10,3.0043982407038,1
1120.367,15,3.3,11,3.2610955617753,1
1120.505,15,3.6,12,3.59216313474647,1
1120.667,16,0,1,-0.0187793427230924,1
1120.783,16,0.3,2,0.253521126760413,1
1120.919,16,0.6,3,0.572769953051916,1
1121.345,16,1.6,6,1.57276995305165,1
1121.784,16,2.6,9,2.60328638497661,1
1122.199,16,3.6,12,3.57746478873229,1
1122.377,17,0,1,-0.00480480480523753,1
1122.619,17,0.6,3,0.576576576576065,1
1122.796,17,1,4,1.00180180180162,1
1123.031,17,1.6,6,1.56636636636596,1
1123.212,17,2,7,2.0012012012009,1
1123.453,17,2.6,9,2.58018018017986,1
1123.62,17,3,10,2.98138138138087,1
1123.855,17,3.6,12,3.54594594594575,1
1124.28,18,0.6,3,0.567421358444931,1
1124.687,18,1.6,6,1.54598276898377,1
1125.115,18,2.6,9,2.57503506311352,1
1125.289,18,3,10,2.99338809857732,1
1125.527,18,3.6,12,3.56561811260273,1
1125.703,19,0,1,-0.0112157019828746,1
1125.949,19,0.6,3,0.580012016823662,1
1126.124,19,1,4,1.00060084117763,1
1126.364,19,1.6,6,1.5774083717204,1
1126.772,19,2.6,9,2.55798117364282,1
1126.823,19,2.6,9,2.68055277388353,0
1127.067,19,3.3,11,3.26697376326845,1
1127.196,19,3.6,12,3.57700781093494,1
1127.775,20,1,4,0.978155339805927,1
1127.876,20,1.3,5,1.22330097087362,1
1128.019,20,1.6,6,1.57038834951449,1
1128.423,20,2.6,9,2.55097087378638,1
1128.708,20,3.3,11,3.24271844660215,1
1128.839,20,3.6,12,3.56067961165036,1
1129.425,21,1,4,0.982215036378295,1
