Onset_time,Cycle_number,Metric_location,Metric_location_index,Phase,Is_included_in_grid
1745.895,1,NaN,NaN,NaN,0
1746.501,1,NaN,NaN,NaN,0
1747.119,2,0,1,-0.0134003350085649,1
1747.249,2,0.3,2,0.276940256839781,1
1747.411,2,0.6,3,0.638749302065955,1
1747.692,2,1.3,5,1.26633165829136,1
1747.843,2,1.6,6,1.60357342266892,1
1748.284,2,2.6,9,2.58849804578447,1
1748.563,2,3.3,11,3.21161362367385,1
1748.909,3,0,1,-0.0160611854685952,1
1749.457,3,1.3,5,1.24130019120461,1
1749.781,3,2,7,1.98470363288694,1
1750.248,3,3,10,3.05621414913969,1
1750.671,4,0,1,0.0272479564035121,1
1751.232,4,1.3,5,1.33748540288064,1
1751.525,4,2,7,2.02179836512308,1
1751.941,4,3,10,2.99338263915958,1
1752.369,5,0,1,-0.00704087619776028,1
1752.919,5,1.3,5,1.28378642675591,1
1753.228,5,2,7,2.00899667514229,1
1753.645,5,3,10,2.98767846665392,1
1754.089,6,0,1,0.0303030303032199,1
1754.623,6,1.3,5,1.30781499202594,1
1754.929,6,2,7,2.03987240829397,1
1755.336,6,3,10,3.01355661882009,1
1755.749,7,0,1,0.00158919348463059,1
1756.277,7,1.3,5,1.26023043305568,1
1756.595,7,2,7,2.01827572507,1
1757.007,7,3,10,3.0003972983717,1
1757.436,8,0,1,0.0233306516495955,1
1757.971,8,1.3,5,1.31456154465043,1
1758.275,8,2,7,2.04827031375754,1
1758.672,8,3,10,3.00643604183448,1
1759.089,9,0,1,0.0129685916918737,1
1759.605,9,1.3,5,1.26767983789268,1
1759.905,9,2,7,1.99716312056735,1
1760.321,9,3,10,3.0087132725429,1
1760.729,10,0,1,0.000807917592570203,1
1761.264,10,1.3,5,1.29751565340322,1
1761.568,10,2,7,2.03433649767734,1
1761.969,10,3,10,3.00626136134145,1
1762.379,11,0,1,0,1
1762.919,11,1.3,5,1.31787675411873,1
1763.224,11,2,7,2.06223306894439,1
1763.617,11,3,10,3.02135448444164,1
1764.019,12,0,1,0.00245047988558647,1
1764.54,12,1.3,5,1.27915050030623,1
1764.843,12,2,7,2.02164590565676,1
1765.248,12,3,10,3.01409025934268,1
1765.656,13,0,1,0.0138662316476783,1
1766.176,13,1.3,5,1.28629690048946,1
1766.468,13,2,7,2.0008156606856,1
1766.869,13,3,10,2.98205546492669,1
1767.287,14,0,1,0.00496791554588314,1
1767.813,14,1.3,5,1.31152970399567,1
1768.089,14,2,7,1.99710204926542,1
1768.487,14,3,10,2.98571724280749,1
1768.883,15,0,1,-0.0301487064569945,1
1769.421,15,1.3,5,1.2849867590144,1
1769.711,15,2,7,1.99388877571821,1
1770.097,15,3,10,2.93746180484815,1
1770.531,16,0,1,-0.00163465467953234,1
1771.051,16,1.3,5,1.27339599509589,1
1771.36,16,2,7,2.0310584389047,1
1771.757,16,3,10,3.0044953003683,1
1772.153,17,0,1,-0.0248292985717231,1
1772.679,17,1.3,5,1.28119180633196,1
1772.977,17,2,7,2.02110490378681,1
1773.368,17,3,10,2.99193047796377,1
1773.771,18,0,1,-0.00755667506336649,1
1774.272,18,1.3,5,1.25440806045297,1
1774.577,18,2,7,2.02267002518867,1
1774.948,18,3,10,2.95717884130983,1
1775.361,19,0,1,-0.00248370071400557,1
1775.86,19,1.3,5,1.23688295560358,1
