Onset_time,Cycle_number,Metric_location,Metric_location_index,Phase,Is_included_in_grid
1094.149,1,NaN,NaN,NaN,0
1094.435,1,NaN,NaN,NaN,0
1094.639,1,NaN,NaN,NaN,0
1094.917,1,NaN,NaN,NaN,0
1095.131,1,NaN,NaN,NaN,0
1095.389,1,NaN,NaN,NaN,0
1095.585,1,NaN,NaN,NaN,0
1095.868,1,NaN,NaN,NaN,0
1096.063,2,0,1,0,1
1096.336,2,0.6,3,0.577370461755212,1
1096.543,2,1,4,1.01515685583323,1
1096.811,2,1.6,6,1.58195276700709,1
1097.007,2,2,7,1.99647514980614,1
1097.271,2,2.6,9,2.55481142051444,1
1097.471,2,3,10,2.97779344377856,1
1097.741,2,3.6,12,3.54881917518496,1
1097.947,3,0,1,-0.015776263894148,1
1098.225,3,0.6,3,0.582287558264378,1
1098.427,3,1,4,1.01685191825003,1
1098.88,3,2,7,1.991394765149,1
1099.14,3,2.6,9,2.55073503047706,1
1099.335,3,3,10,2.97024022947298,1
1099.808,4,0,1,-0.0124633431085438,1
1100.071,4,0.6,3,0.565982404691901,1
1100.268,4,1,4,0.999266862170189,1
1100.732,4,2,7,2.01979472140766,1
1100.991,4,2.6,9,2.58944281524937,1
1101.18,4,3,10,3.00513196480968,1
1101.643,5,0,1,0.0234303496250249,1
1101.903,5,0.6,3,0.594545121728201,1
1102.091,5,1,4,1.00750503386408,1
1102.553,5,2,7,2.02233205198639,1
1102.813,5,2.6,9,2.59344682408957,1
1103.007,5,3,10,3.01958630788956,1
1103.263,5,3.6,12,3.58191469888316,1
1103.46,6,0,1,0.0150630766333902,1
1103.719,6,0.6,3,0.600263603841164,1
1103.908,6,1,4,1.02730182639783,1
1104.145,6,1.6,6,1.56279420071552,1
1104.352,6,2,7,2.03050273018295,1
1104.596,6,2.6,9,2.58181133496534,1
1104.789,6,3,10,3.01788740350234,1
1105.036,6,3.6,12,3.57597439277012,1
1105.224,7,0,1,0.000754432289855646,1
1105.481,7,0.6,3,0.582421727650197,1
1105.677,7,1,4,1.02602791399475,1
1106.128,7,2,7,2.04677480196153,1
1106.375,7,2.6,9,2.60580912863083,1
1106.569,7,3,10,3.04488872123728,1
1106.811,7,3.6,12,3.5926065635608,1
1107.004,8,0,1,0.0297823596790819,1
1107.257,8,0.6,3,0.609392898052834,1
1107.445,8,1,4,1.04009163802961,1
1107.887,8,2,7,2.05269186712465,1
1108.127,8,2.6,9,2.6025200458188,1
1108.316,8,3,10,3.0355097365406,1
1108.748,9,0,1,0.0249433106575236,1
1108.996,9,0.6,3,0.587301587301655,1
1109.187,9,1,4,1.02040816326495,1
1109.636,9,2,7,2.03854875283433,1
1109.876,9,2.6,9,2.58276643990921,1
1110.069,9,3,10,3.02040816326521,1
1110.516,10,0,1,0.0349514563109121,1
1110.756,10,0.6,3,0.594174757281797,1
1110.941,10,1,4,1.02524271844671,1
1111.367,10,2,7,2.01786407766983,1
1111.605,10,2.6,9,2.57242718446607,1
1111.793,10,3,10,3.01048543689296,1
1112.22,11,0,1,0.00544641120409443,1
1112.464,11,0.6,3,0.574985411398451,1
1112.656,11,1,4,1.02314724761714,1
1113.076,11,2,7,2.00350126434564,1
1113.321,11,2.6,9,2.57537444077025,1
1113.504,11,3,10,3.00252869091615,1
1113.936,12,0,1,0.0110019646366391,1
1114.185,12,0.6,3,0.598035363457896,1
1114.363,12,1,4,1.01768172888054,1
1114.795,12,2,7,2.03614931237761,1
1115.031,12,2.6,9,2.59253438113958,1
1115.215,12,3,10,3.02632612966601,1
1115.636,13,0,1,0.0188734886465067,1
1115.883,13,0.6,3,0.601592450604785,1
1116.064,13,1,4,1.02860513123005,1
1116.309,13,1.6,6,1.6066057210263,1
1116.496,13,2,7,2.04777351813659,1
1116.728,13,2.6,9,2.5951046888826,1
1116.905,13,3,10,3.01268062518435,1
1117.328,14,0,1,0.0106877783275779,1
1117.564,14,0.6,3,0.571202375062113,1
1117.749,14,1,4,1.01058881741725,1
1118.173,14,2,7,2.01761504205847,1
1118.411,14,2.6,9,2.58287976249403,1
1118.601,14,3,10,3.03414151410227,1
1119.023,15,0,1,0.0367852858855035,1
1119.252,15,0.6,3,0.586165533786449,1
1119.436,15,1,4,1.02758896441413,1
1119.857,15,2,7,2.03758496601362,1
1120.084,15,2.6,9,2.58216713314698,1
1120.269,15,3,10,3.02598960415845,1
1120.685,16,0,1,0.0234741784037321,1
1120.923,16,0.6,3,0.582159624413196,1
1121.108,16,1,4,1.01643192488251,1
1121.543,16,2,7,2.03755868544565,1
1121.777,16,2.6,9,2.58685446009384,1
1121.967,16,3,10,3.03286384976528,1
1122.383,17,0,1,0.00960960960938258,1
1122.619,17,0.6,3,0.576576576576065,1
1122.801,17,1,4,1.01381381381335,1
1123.221,17,2,7,2.02282282282256,1
1123.455,17,2.6,9,2.58498498498455,1
1123.64,17,3,10,3.02942942942942,1
1124.053,18,0,1,0.0216389501102344,1
1124.281,18,0.6,3,0.569825686234897,1
1124.467,18,1,4,1.01703065517938,1
1124.889,18,2,7,2.03165698256824,1
1125.116,18,2.6,9,2.57743939090348,1
1125.307,18,3,10,3.03666599879779,1
1125.708,19,0,1,0.000801121570361461,1
1125.949,19,0.6,3,0.580012016823662,1
1126.128,19,1,4,1.01021430001979,1
1126.549,19,2,7,2.0220308431803,1
1126.773,19,2.6,9,2.56038453835336,1
1126.955,19,3,10,2.99779691568164,1
1127.381,20,0,1,0.0218446601942113,1
1127.609,20,0.6,3,0.575242718446275,1
1127.789,20,1,4,1.01213592232995,1
1128.2,20,2,7,2.00970873786412,1
1128.436,20,2.6,9,2.58252427184444,1
1128.613,20,3,10,3.01213592233022,1
