onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
0.425,0,NaN,NaN,NaN,NaN,NaN
0.686,0,NaN,NaN,NaN,NaN,NaN
1.064,0,NaN,NaN,NaN,NaN,NaN
1.36,0,NaN,NaN,NaN,NaN,NaN
1.738,0,NaN,NaN,NaN,NaN,NaN
2.01,0,NaN,NaN,NaN,NaN,NaN
2.382,0,NaN,NaN,NaN,NaN,NaN
2.659,0,NaN,NaN,NaN,NaN,NaN
3.037,0,NaN,NaN,NaN,NaN,NaN
3.298,0,NaN,NaN,NaN,NaN,NaN
3.689,0,NaN,NaN,NaN,NaN,NaN
3.951,0,NaN,NaN,NaN,NaN,NaN
4.309,0,NaN,NaN,NaN,NaN,NaN
4.566,0,NaN,NaN,NaN,NaN,NaN
4.913,0,NaN,NaN,NaN,NaN,NaN
5.178,0,NaN,NaN,NaN,NaN,NaN
5.531,0,NaN,NaN,NaN,NaN,NaN
5.78,0,NaN,NaN,1,NaN,NaN
6.113,0,NaN,NaN,1,NaN,NaN
6.387,0,NaN,NaN,1,NaN,NaN
6.731,0,NaN,NaN,1,NaN,NaN
6.982,0,NaN,NaN,1,NaN,NaN
7.32,0,NaN,NaN,1,NaN,NaN
7.586,0,NaN,NaN,1,NaN,NaN
7.919,0,NaN,NaN,1,NaN,NaN
8.174,1,0,1,2,-0.0271243907607544,-0.0271243907607544
8.52,1,0.6,3,2,0.55944055944056,0.55944055944056
8.788,1,1,4,2,1.0137741046832,1.0137741046832
9.115,1,1.6,6,2,1.56812884085612,1.56812884085612
9.36,1,2,7,2,1.98347107438017,1.98347107438017
9.7,1,2.6,9,2,2.5598643780462,2.5598643780462
9.957,1,3,10,2,2.99554990464082,2.99554990464082
10.297,1,3.6,12,2,3.57194320830685,3.57194320830685
10.54,1,0,1,3,-0.0163863734368248,-0.0163863734368248
10.871,1,0.6,3,3,0.55454937473049,0.55454937473049
11.14,1,1,4,3,1.01854247520483,1.01854247520483
11.453,1,1.6,6,3,1.55843035791289,1.55843035791289
11.706,1,2,7,3,1.99482535575679,1.99482535575679
12.033,1,2.6,9,3,2.55886157826649,2.55886157826649
12.287,1,3,10,3,2.9969814575248,2.9969814575248
12.611,1,3.6,12,3,3.55584303579129,3.55584303579129
12.847,1,0,1,4,-0.0377689942907359,-0.0377689942907359
13.185,1,0.6,3,4,0.555994729907773,0.555994729907773
13.432,1,1,4,4,0.989898989898989,0.989898989898989
13.767,1,1.6,6,4,1.57839262187088,1.57839262187088
13.993,1,2,7,4,1.9754062362758,1.9754062362758
14.319,1,2.6,9,4,2.54808959156785,2.54808959156785
14.569,1,3,10,4,2.98726394378568,2.98726394378568
14.899,1,3.6,12,4,3.56697408871322,3.56697408871322
15.137,1,0,1,5,-0.0151413938989085,-0.0151413938989085
15.463,1,0.6,3,5,0.565575595635715,0.565575595635715
15.72,1,1,4,5,1.02338009352038,1.02338009352038
16.033,1,1.6,6,5,1.58093965709196,1.58093965709196
16.275,1,2,7,5,2.01202404809619,2.01202404809619
16.586,1,2.6,9,5,2.56602093075039,2.56602093075039
16.841,1,3,10,5,3.02026274771766,3.02026274771766
17.379,1,0,1,6,-0.022346368715078,-0.022346368715078
17.482,1,0.3,2,6,0.169459962756054,0.169459962756054
17.567,0,0.3,2,6,0.327746741154565,0.327746741154565
17.705,1,0.6,3,6,0.584729981378025,0.584729981378025
17.927,1,1,4,6,0.998137802607077,0.998137802607077
18.052,1,1.3,5,6,1.23091247672253,1.23091247672253
18.434,1,2,7,6,1.94227188081937,1.94227188081937
18.538,0,2,7,6,2.13594040968343,2.13594040968343
18.63,1,2.3,8,6,2.3072625698324,2.3072625698324
18.776,1,2.6,9,6,2.57914338919925,2.57914338919925
18.999,1,3,10,6,2.99441340782123,2.99441340782123
19.122,1,3.3,11,6,3.22346368715084,3.22346368715084
19.519,1,0,1,7,-0.0378967314069221,-0.0378967314069221
19.623,0,0.3,2,7,0.159166271909047,0.159166271909047
19.709,1,0.3,2,7,0.322122216958784,0.322122216958784
19.853,1,0.6,3,7,0.594978683088584,0.594978683088584
20.071,1,1,4,7,1.00805305542397,1.00805305542397
20.206,1,1.3,5,7,1.26385599242065,1.26385599242065
20.393,1,1.6,6,7,1.61819043107532,1.61819043107532
20.586,1,2,7,7,1.98389388915206,1.98389388915206
20.686,1,2.3,8,7,2.17337754618664,2.17337754618664
20.779,0,2.3,8,7,2.3495973472288,2.3495973472288
20.921,1,2.6,9,7,2.61866414021791,2.61866414021791
21.124,1,3,10,7,3.0033159639981,3.0033159639981
21.254,1,3.3,11,7,3.24964471814306,3.24964471814306
21.63,1,0,1,8,-0.0382500597657175,-0.0382500597657175
21.726,0,0,1,8,0.145350227109731,0.145350227109731
21.818,1,0.3,2,8,0.321300502032039,0.321300502032039
21.963,1,0.6,3,8,0.598613435333496,0.598613435333496
22.174,1,1,4,8,1.00215156586182,1.00215156586182
22.312,1,1.3,5,8,1.26607697824528,1.26607697824528
22.679,1,2,7,8,1.96796557494621,1.96796557494621
22.772,0,2,7,8,2.1458283528568,2.1458283528568
22.865,1,2.3,8,8,2.32369113076739,2.32369113076739
23.011,1,2.6,9,8,2.60291656705713,2.60291656705713
23.222,1,3,10,8,3.00645469758547,3.00645469758547
23.35,1,3.3,11,8,3.25125508008606,3.25125508008606
23.719,1,0,1,9,-0.0437105390966506,-0.0437105390966506
23.817,0,0,1,9,0.146673142302085,0.146673142302085
23.907,1,0.3,2,9,0.32151529868868,0.32151529868868
24.043,1,0.6,3,9,0.58572122389509,0.58572122389509
24.257,1,1,4,9,1.00145701796989,1.00145701796989
24.393,1,1.3,5,9,1.2656629431763,1.2656629431763
24.755,1,2,7,9,1.96891694997571,1.96891694997571
24.843,0,2,7,9,2.13987372510927,2.13987372510927
24.942,1,2.3,8,9,2.33220009713453,2.33220009713453
25.077,1,2.6,9,9,2.59446333171443,2.59446333171443
25.276,1,3,10,9,2.98105876639145,2.98105876639145
25.4,1,3.3,11,9,3.22195240407965,3.22195240407965
25.779,1,0,1,10,-0.0417678484701305,-0.0417678484701305
25.864,0,0,1,10,0.123360854783878,0.123360854783878
25.958,1,0.3,2,10,0.30597377367654,0.30597377367654
26.099,1,0.6,3,10,0.579893152015543,0.579893152015543
26.308,1,1,4,10,0.985915492957748,0.985915492957748
26.453,1,1.3,5,10,1.26760563380282,1.26760563380282
26.619,1,1.6,6,10,1.59009227780476,1.59009227780476
26.813,1,2,7,10,1.9669742593492,1.9669742593492
26.949,1,2.3,8,10,2.23118018455562,2.23118018455562
27.126,1,2.6,9,10,2.57503642544925,2.57503642544925
27.326,1,3,10,10,2.9635745507528,2.9635745507528
27.449,1,3.3,11,10,3.20252549781448,3.20252549781448
27.851,1,0,1,11,-0.0166177908113352,-0.0166177908113352
27.972,1,0.3,2,11,0.219941348973615,0.219941348973615
29.895,1,0,1,12,-0.0208540218470713,-0.0208540218470713
29.996,1,0.3,2,12,0.179741807348558,0.179741807348558
30.399,1,1,4,12,0.980139026812316,0.980139026812316
30.518,1,1.3,5,12,1.21648460774578,1.21648460774578
30.896,1,2,7,12,1.96722939424032,1.96722939424032
31.201,1,2.6,9,12,2.57298907646475,2.57298907646475
31.298,0,2.6,9,12,2.7656405163853,2.7656405163853
31.417,1,3,10,12,3.00198609731877,3.00198609731877
31.54,1,3.3,11,12,3.24627606752731,3.24627606752731
31.701,1,3.6,12,12,3.56603773584906,3.56603773584906
31.916,1,0,1,13,-0.00692726373082424,-0.00692726373082424
33.924,1,0,1,14,-0.0336220071319422,-0.0336220071319422
34.023,1,0.3,2,14,0.168110035659711,0.168110035659711
34.421,1,1,4,14,0.979113601630156,0.979113601630156
34.526,1,1.3,5,14,1.19307182883342,1.19307182883342
34.918,1,2,7,14,1.99184921039225,1.99184921039225
35.189,1,2.6,9,14,2.54406520631686,2.54406520631686
35.284,0,2.6,9,14,2.73764645950076,2.73764645950076
35.401,1,3,10,14,2.97605705552726,2.97605705552726
35.52,1,3.3,11,14,3.21854304635762,3.21854304635762
35.676,1,3.6,12,14,3.5364238410596,3.5364238410596
35.906,1,0,1,15,0.00526177321756953,0.00526177321756953
37.794,1,0,1,16,-0.0210139217231523,-0.0210139217231523
37.902,1,0.3,2,16,0.205936432886785,0.205936432886785
38.06,1,0.6,3,16,0.537956396112425,0.537956396112425
38.264,1,1,4,16,0.966640399264514,0.966640399264514
