onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
3.857,0,NaN,NaN,1,NaN,NaN
4.163,0,NaN,NaN,1,NaN,NaN
4.717,0,NaN,NaN,1,NaN,NaN
5.207,0,NaN,NaN,1,NaN,NaN
5.708,0,NaN,NaN,1,NaN,NaN
5.948,1,0,1,2,0.0485049833887052,0.0485049833887052
6.449,1,1,4,2,1.04717607973422,1.04717607973422
7.226,1,2.6,9,2,2.59601328903654,2.59601328903654
7.727,1,3.6,12,2,3.59468438538206,3.59468438538206
7.948,1,0,1,3,0.0355704697986583,0.0355704697986583
8.212,1,0.6,3,3,0.567114093959731,0.567114093959731
8.724,1,1.6,6,3,1.59798657718121,1.59798657718121
9.199,1,2.6,9,3,2.55436241610738,2.55436241610738
9.685,1,3.6,12,3,3.53288590604027,3.53288590604027
9.916,1,0,1,4,-0.0020394289598901,-0.0020394289598901
10.421,1,1,4,4,1.02787219578518,1.02787219578518
11.185,1,2.6,9,4,2.58599592114208,2.58599592114208
11.671,1,3.6,12,4,3.57715839564922,3.57715839564922
11.887,1,0,1,5,0.017924853498797,0.017924853498797
12.151,1,0.6,3,5,0.563943467769736,0.563943467769736
12.649,1,1.6,6,5,1.5939331265081,1.5939331265081
13.121,1,2.6,9,5,2.57014822475009,2.57014822475009
13.569,1,3.6,12,5,3.49672526714926,3.49672526714926
13.815,1,0,1,6,0.00567275305796782,0.00567275305796782
14.288,1,1,4,6,1.01187732671512,1.01187732671512
14.752,1,2,7,6,1.99893635880163,1.99893635880163
15.213,1,3,10,6,2.97961354369793,2.97961354369793
15.696,1,0,1,7,0.0069601531233698,0.0069601531233698
15.963,1,0.6,3,7,0.564468418305202,0.564468418305202
16.459,1,1.6,6,7,1.60013920306247,1.60013920306247
16.918,1,2.6,9,7,2.55855228815034,2.55855228815034
17.386,1,3.6,12,7,3.5357577866713,3.5357577866713
17.604,1,0,1,8,-0.00937105784826471,-0.00937105784826471
18.053,1,1,4,8,0.961614705352315,0.961614705352315
18.532,1,2,7,8,1.997477022887,1.997477022887
19.006,1,3,10,8,3.02252658136601,3.02252658136601
19.457,1,0,1,9,-0.00215439856373693,-0.00215439856373693
19.71,1,0.6,3,9,0.542908438061039,0.542908438061039
20.187,1,1.6,6,9,1.5705565529623,1.5705565529623
20.653,1,2.6,9,9,2.57450628366247,2.57450628366247
21.1,1,3.6,12,9,3.53752244165171,3.53752244165171
21.31,1,0,1,10,-0.0102903344358739,-0.0102903344358739
21.772,1,1,4,10,1.00845277471517,1.00845277471517
22.23,1,2,7,10,2.01837559720691,2.01837559720691
22.678,1,3,10,10,3.00624770305035,3.00624770305035
23.141,1,0,1,11,0.0276583816109157,0.0276583816109157
23.376,1,0.6,3,11,0.554662679872929,0.554662679872929
23.841,1,1.6,6,11,1.59745841898711,1.59745841898711
24.279,1,2.6,9,11,2.57970472808821,2.57970472808821
24.712,1,3.6,12,11,3.55073817977948,3.55073817977948
24.922,1,0,1,12,0.0214378118647226,0.0214378118647226
25.366,1,1,4,12,1.00609868785807,1.00609868785807
25.828,1,2,7,12,2.0306782480133,2.0306782480133
26.27,1,3,10,12,3.01090371465533,3.01090371465533
26.719,1,0,1,13,0.00654902674185945,0.00654902674185945
26.986,1,0.6,3,13,0.589412406767327,0.589412406767327
27.463,1,1.6,6,13,1.63070765872294,1.63070765872294
27.906,1,2.6,9,13,2.59778060760415,2.59778060760415
28.335,1,3.6,12,13,3.53429143169002,3.53429143169002
28.56,1,0,1,14,0.0259163272861904,0.0259163272861904
28.996,1,1,4,14,0.994446501295815,0.994446501295815
29.446,1,2,7,14,1.99407626804888,1.99407626804888
29.897,1,3,10,14,2.9959274342836,2.9959274342836
30.339,1,0,1,15,-0.0221770467566104,-0.0221770467566104
30.61,1,0.6,3,15,0.578820920347438,0.578820920347438
31.08,1,1.6,6,15,1.62114211790796,1.62114211790796
31.521,1,2.6,9,15,2.59914987987433,2.59914987987433
31.952,1,3.6,12,15,3.55498059508409,3.55498059508409
32.152,1,0,1,16,-0.00148175588072046,-0.00148175588072046
32.581,1,1,4,16,0.952028153361736,0.952028153361736
33.048,1,2,7,16,1.98999814780515,1.98999814780515
33.501,1,3,10,16,2.99685126875346,2.99685126875346
33.954,1,0,1,17,0.00373412994771878,0.00373412994771878
34.213,1,0.6,3,17,0.584017923823746,0.584017923823746
34.695,1,1.6,6,17,1.663928304705,1.663928304705
35.123,1,2.6,9,17,2.62285287528005,2.62285287528005
35.549,1,3.6,12,17,3.57729648991784,3.57729648991784
35.759,1,0,1,18,0.0485492129717375,0.0485492129717375
36.172,1,1,4,18,0.988431632846565,0.988431632846565
36.614,1,2,7,18,1.99431063910486,1.99431063910486
37.046,1,3,10,18,2.97743220178266,2.97743220178266
37.494,1,0,1,19,-0.00297508367423197,-0.00297508367423197
37.758,1,0.6,3,19,0.586091483822985,0.586091483822985
38.213,1,1.6,6,19,1.6013387876534,1.6013387876534
38.638,1,2.6,9,19,2.54964670881367,2.54964670881367
39.071,1,3.6,12,19,3.51580513201933,3.51580513201933
39.29,1,0,1,20,0.00458452722061969,0.00458452722061969
39.725,1,1,4,20,1.00171919770773,1.00171919770773
40.176,1,2,7,20,2.03553008595988,2.03553008595988
40.603,1,3,10,20,3.01432664756447,3.01432664756447
41.027,1,0,1,21,-0.013706453455169,-0.013706453455169
41.276,1,0.6,3,21,0.555111364934329,0.555111364934329
41.713,1,1.6,6,21,1.55339805825243,1.55339805825243
42.155,1,2.6,9,21,2.56310679611651,2.56310679611651
42.587,1,3.6,12,21,3.54997144488864,3.54997144488864
42.775,1,0,1,22,-0.0206067544361771,-0.0206067544361771
43.214,1,1,4,22,0.984544934172867,0.984544934172867
43.652,1,2,7,22,1.98740698340012,1.98740698340012
44.092,1,3,10,22,2.99484831139096,2.99484831139096
44.517,1,0,1,23,-0.0322952710495867,-0.0322952710495867
44.764,1,0.6,3,23,0.537485582468292,0.537485582468292
45.209,1,1.6,6,23,1.56401384083046,1.56401384083046
45.655,1,2.6,9,23,2.5928489042676,2.5928489042676
46.062,1,3.6,12,23,3.53171856978086,3.53171856978086
46.254,1,0,1,24,-0.0252534914865024,-0.0252534914865024
46.697,1,1,4,24,0.99177348383396,0.99177348383396
47.138,1,2,7,24,2.00420891524776,2.00420891524776
47.559,1,3,10,24,2.97072890759519,2.97072890759519
47.995,1,0,1,25,-0.0285108842226869,-0.0285108842226869
48.257,1,0.6,3,25,0.57715276439993,0.57715276439993
48.695,1,1.6,6,25,1.58967443652477,1.58967443652477
49.128,1,2.6,9,25,2.59063764207283,2.59063764207283
49.538,1,3.6,12,25,3.53843190136775,3.53843190136775
49.734,1,0,1,26,-0.00849420849419415,-0.00849420849419415
50.159,1,1,4,26,0.97606177606178,0.97606177606178
50.613,1,2,7,26,2.02779922779923,2.02779922779923
51.035,1,3,10,26,3.0054054054054,3.0054054054054
51.458,1,0,1,27,-0.0145287707895336,-0.0145287707895336
51.71,1,0.6,3,27,0.563563372204165,0.563563372204165
52.177,1,1.6,6,27,1.63486904989485,1.63486904989485
52.608,1,2.6,9,27,2.6235901357293,2.6235901357293
53.012,1,3.6,12,27,3.55037277767158,3.55037277767158
53.201,1,0,1,28,-0.0161756210283025,-0.0161756210283025
53.641,1,1,4,28,1.00057770075101,1.00057770075101
54.105,1,2,7,28,2.07279029462738,2.07279029462738
54.508,1,3,10,28,3.00404390525708,3.00404390525708
54.945,1,0,1,29,0.0138222307544639,0.0138222307544639
55.195,1,0.6,3,29,0.58974851219044,0.58974851219044
55.628,1,1.6,6,29,1.58725283163755,1.58725283163755
56.068,1,2.6,9,29,2.60088308696486,2.60088308696486
56.465,1,3.6,12,29,3.5154540218852,3.5154540218852
56.666,1,0,1,30,-0.0219135198591375,-0.0219135198591375
57.1,1,1,4,30,0.997065153590298,0.997065153590298
57.521,1,2,7,30,1.98552142437879,1.98552142437879
57.941,1,3,10,30,2.97162981803953,2.97162981803953
58.361,1,0,1,31,-0.0420806545879617,-0.0420806545879617
58.608,1,0.6,3,31,0.535359438924602,0.535359438924602
59.048,1,1.6,6,31,1.56399766218586,1.56399766218586
59.467,1,2.6,9,31,2.54354178842781,2.54354178842781
59.887,1,3.6,12,31,3.52542372881355,3.52542372881355
60.084,1,0,1,32,-0.0142857142857148,-0.0142857142857148
60.512,1,1,4,32,1.0047619047619,1.0047619047619
60.934,1,2,7,32,2.0095238095238,2.0095238095238
61.344,1,3,10,32,2.98571428571428,2.98571428571428
61.767,1,0,1,33,-0.0070949940875052,-0.0070949940875052
62.015,1,0.6,3,33,0.57942451714623,0.57942451714623
62.455,1,1.6,6,33,1.62002364998028,1.62002364998028
62.873,1,2.6,9,33,2.60859282617263,2.60859282617263
63.285,1,3.6,12,33,3.58297201418997,3.58297201418997
63.475,1,0,1,34,0.0324881141045933,0.0324881141045933
63.881,1,1,4,34,0.997622820919169,0.997622820919169
64.317,1,2,7,34,2.03407290015849,2.03407290015849
64.728,1,3,10,34,3.01109350237715,3.01109350237715
65.139,1,0,1,35,-0.012031281331485,-0.012031281331485
65.387,1,0.6,3,35,0.58472027270903,0.58472027270903
65.813,1,1.6,6,35,1.60978544214958,1.60978544214958
66.225,1,2.6,9,35,2.60116302386201,2.60116302386201
66.632,1,3.6,12,35,3.58050932424302,3.58050932424302
66.814,1,0,1,36,0.0188023707336634,0.0188023707336634
67.214,1,1,4,36,0.999795626405053,0.999795626405053
67.628,1,2,7,36,2.01512364602493,2.01512364602493
68.036,1,3,10,36,3.01573676680974,3.01573676680974
68.427,1,0,1,37,-0.0251215559157259,-0.0251215559157259
68.654,1,0.6,3,37,0.526742301458673,0.526742301458673
69.093,1,1.6,6,37,1.5940032414911,1.5940032414911
69.492,1,2.6,9,37,2.56401944894653,2.56401944894653
69.881,1,3.6,12,37,3.5097244732577,3.5097244732577
70.059,1,0,1,38,-0.0577118471855414,-0.0577118471855414
70.476,1,1,4,38,0.959154643365165,0.959154643365165
70.896,1,2,7,38,1.98333672017883,1.98333672017883
71.293,1,3,10,38,2.95143263564318,2.95143263564318
71.711,1,0,1,39,-0.0294418319362104,-0.0294418319362104
71.937,1,0.6,3,39,0.525046002862395,0.525046002862395
72.377,1,1.6,6,39,1.6045798405234,1.6045798405234
72.78,1,2.6,9,39,2.5933346963811,2.5933346963811
73.147,1,3.6,12,39,3.49376405643018,3.49376405643018
73.342,1,0,1,40,-0.0277239832840857,-0.0277239832840857
73.751,1,1,4,40,0.972785648761603,0.972785648761603
74.183,1,2,7,40,2.02955865864845,2.02955865864845
74.564,1,3,10,40,2.96157374375701,2.96157374375701
74.99,1,0,1,41,0.00360757590942698,0.00360757590942698
75.22,1,0.6,3,41,0.556769215352266,0.556769215352266
75.654,1,1.6,6,41,1.60056117847482,1.60056117847482
76.064,1,2.6,9,41,2.58663192704681,2.58663192704681
76.462,1,3.6,12,41,3.54384206834355,3.54384206834355
76.656,1,0,1,42,0.0106274269364789,0.0106274269364789
77.063,1,1,4,42,1.00878806458209,1.00878806458209
77.476,1,2,7,42,2.02166360106276,2.02166360106276
77.877,1,3,10,42,3.0051093398733,3.0051093398733
78.272,1,0,1,43,-0.0263049732840084,-0.0263049732840084
78.502,1,0.6,3,43,0.540896013152495,0.540896013152495
78.934,1,1.6,6,43,1.60624743115496,1.60624743115496
79.335,1,2.6,9,43,2.59515002055078,2.59515002055078
79.711,1,3.6,12,43,3.52240032881216,3.52240032881216
79.901,1,0,1,44,-0.00901824144293838,-0.00901824144293838
80.319,1,1,4,44,1.0190612830498,1.0190612830498
80.724,1,2,7,44,2.01516704242672,2.01516704242672
81.129,1,3,10,44,3.01127280180365,3.01127280180365
81.519,1,0,1,45,-0.0299127544661417,-0.0299127544661417
81.75,1,0.6,3,45,0.54590776900705,0.54590776900705
82.166,1,1.6,6,45,1.58288325716658,1.58288325716658
82.571,1,2.6,9,45,2.59243872039883,2.59243872039883
82.937,1,3.6,12,45,3.50477773161611,3.50477773161611
83.131,1,0,1,46,-0.0115250051450882,-0.0115250051450882
83.548,1,1,4,46,1.01831652603417,1.01831652603417
83.953,1,2,7,46,2.01852232969749,2.01852232969749
84.34,1,3,10,46,2.97427454208687,2.97427454208687
84.766,1,0,1,47,0.0266001662510359,0.0266001662510359
84.998,1,0.6,3,47,0.605153782211165,0.605153782211165
85.419,1,1.6,6,47,1.65502909393183,1.65502909393183
85.809,1,2.6,9,47,2.62759767248544,2.62759767248544
86.19,1,3.6,12,47,3.57772236076474,3.57772236076474
86.365,1,0,1,48,0.0140932642486777,0.0140932642486777
86.768,1,1,4,48,1.01637305699481,1.01637305699481
87.175,1,2,7,48,2.02860103626941,2.02860103626941
87.567,1,3,10,48,3.00352331606218,3.00352331606218
87.958,1,0,1,49,-0.0243851166701911,-0.0243851166701911
88.21,1,0.6,3,49,0.611309648938409,0.611309648938409
88.602,1,1.6,6,49,1.60016817321841,1.60016817321841
88.987,1,2.6,9,49,2.57136850956482,2.57136850956482
89.382,1,3.6,12,49,3.56779482867353,3.56779482867353
89.556,1,0,1,50,0.00675675675672902,0.00675675675672902
89.939,1,1,4,50,0.977195945945909,0.977195945945909
90.34,1,2,7,50,1.99324324324323,1.99324324324323
90.735,1,3,10,50,2.99408783783782,2.99408783783782
91.128,1,0,1,51,-0.0099523118391165,-0.0099523118391165
91.356,1,0.6,3,51,0.557329462989817,0.557329462989817
91.782,1,1.6,6,51,1.61725067385443,1.61725067385443
92.163,1,2.6,9,51,2.56520837652912,2.56520837652912
92.552,1,3.6,12,51,3.53307070288201,3.53307070288201
92.745,1,0,1,52,0.0133891213389286,0.0133891213389286
93.129,1,1,4,52,0.977405857740576,0.977405857740576
93.542,1,2,7,52,2.01422594142262,2.01422594142262
93.941,1,3,10,52,3.01589958159,3.01589958159
94.325,1,0,1,53,-0.0196842321098577,-0.0196842321098577
94.545,1,0.6,3,53,0.521632150912487,0.521632150912487
94.969,1,1.6,6,53,1.56489645273736,1.56489645273736
95.376,1,2.6,9,53,2.56633176132872,2.56633176132872
95.783,1,3.6,12,53,3.56776706992006,3.56776706992006
95.971,1,0,1,54,0.0306481673224556,0.0306481673224556
96.358,1,1,4,54,0.992337958169421,0.992337958169421
96.753,1,2,7,54,1.97390764133363,1.97390764133363
97.156,1,3,10,54,2.97535721681511,2.97535721681511
97.559,1,0,1,55,-0.0228664761126924,-0.0228664761126924
